구분,주요,내용
기술 기술,AI 연구동료(AI Co-Scientist) 자동화/자을실험실(SDL),"연구 전 과정(가설생성부터 결과분석까지)협력 지능형 플랫품 AI-로보틱스결합24시간자을 실험 시설(바이오, 재료·화학분야 우선 구축)"
기술,,멀티 스케일(분자-세포-휴먼)바이오 파운데이션 모멜 개발
기술,,
기술,,
기술 기술,반도체·디스플레이A파운데이션 모델,반도체·디스플레이 설계·공정 전주기 파운데이션 모멜 개발 유기-무기 신소재 통합설계·실험 파운데이선 모멜 개발
기술,,
인프라및제도 인프라및제도,과학기술 AI전용GPU 확보,"슈퍼컴 6호기의 약 30%, 첨단 GPU 학계·연구계 약20%, 대학 기초연구 전용 등 약 8,000개 확보 연구데이터 생산·관리 및 공유 촉진을 위해 연구데이터 표준화 등 추진"
인프라및제도 인프라 및 제도,국가연구데이터염 구축,분야별·전문센터·출연연의 데이터를 국가연구데이터플랫폼으로 연계
인프라및제도,국가과학시연구소,
인프라및제도 인프라및제도,AI바이오허브,"30년까지5개A바이오산-학·연·병현력거점조성바이오데이터 집적등 AI사용에 따른 연구진실성·신뢰성-투명성등AI활용연구윤리,성과평가 기준제시"
인프라및제도 인프라및제도,글로별AX창업 전진기지 ASK 2026 경진대회,AI저자참여등혁신사례발글 해외 거점활용스타트업진출 지원
인프라및 제도 인프라및제도 인프라및제도,수요발글지원단,"연구개발특구를중심으로지역의유망과학기술 A연구성과를산업으로연계 4대 과기원 중심으로 지역대학·기업과 함께 지역AX 창업기지 구측 R&D 성과-민간 수요 매칭 지원, 과학기술 A R&D및 철린지 우수성과 후속지원"
인프라및제도 인프라및제도,GPU 공동활용체계 과기원AX 대학기초연구A센터 전문연구요원우선배정 InnoCORE연구단,"기업-대학-출연연 원팀으로 기술개발과 비즈니스 모멜을 도출 출연연의 흘어져있는 GPU 지원을 연계하고 공동활용 AI기초교육과정의무화, AI단과대학신설, AI바이오·소재등용합인재양성 AI 중심대학('26년 10개->'30년 30개), AI 거점대학 확대('26년 3개교), 지역산업 연계 AI 분야핵심인재양성-확보를위해군대에A분야 전문연구요원우선배정 기초과학A접목다학제센터 AI 바이오-에너지등과기원중심 AX연구단을통해 AX 집단·용합연구지원 |AI융합박사후연구원양성, 출연연·A연구자간공동프로적트지원등 A1-용합신진 연구자가주도하는도전적A연구지원으로세계석학성장토대마련"
