구분,주요,내용
기술,자을주행차AX,"소프트웨어중심차,자을주행A모델,차량용반도체개발"
기술,자을운항선박AX,"지능형 자을항해시스템,기관 자동화 및 에너지관리,육상원격운용동"
기술,가전·전자AX,"사용자데이터셋 확보,핵심부품·SW국산화 및 실중"
기술,,물류·재난·농업 등 9대 분야 휴머노이드 플랫폼·솔루션 개발
기술,방산AX,드론등무기AI실중기반 구축
기술,바이오AX,
기술,K-온디바이스AI반도체개발,자동차-로봇 등국내'팝리스와 맞춤형 A반도체·SW공동개발
인프라및제도 인프라 및 제도,AI 팩토리 선도사업(500개),데이터 공유부터 제품개발까지 제조AX 전과정 혁신 생태계 조성
인프라 및 제도,판교 K-펩리스 벨리,설계 를 및 첨단 장비 지원 팝리스 거점
인프라및제도 인프라 및제도,AI산업 표준개발(6개 분야)2 휴머노이드 혁신센터,"자을제조,자을주행,자율운항선박,로봇,드론,가전 실중 지원 및 안전 인중 기준 마련"
인프라및제도,HRI실증 테스트베드구축,자을이동로봇등A물류로봇도입을위한 실증데이터 수집
인프라 및제도,로봇 도입활용가이드라인 마련,"물류로봇 운영 시 위험요소 평가,예방대책, 사고원인분석 방안 등"
인프라 및제도,미래차 색터 펀드 조성·운영,
인프라 및 제도,자을운항선박 테스트베드,
인프라 및제도,국민성장펀드(M.AX 프로젝트),유망 프로젝트대규모모험자본 공급
인프라및제도,,글로벌 시장진출 촉진을 위한 표준·인중제 마련(26년~)
인프라및제도,디자인 전주기 AI서비스 제공,"기획, 컨셉디자인, 상세디자인, 검증평가및생산연동"
인프라및제도,용IV (Y)VW,민군검용기술협력사업을A방산기술개발 과제중심으로확대 도메인 지식-A기술력경비융합인재
