구분,주요,내용
기술 기술,NPU 고도화 고성능·저전력핵심기술확보,대규모LLM지원에특화된 NPU설계구조 혁신
기술 기술,첨단 패키징 3D DRAM,저발열 및 저전력 전용 패키징 공정 기술 용량 및 전력 효을 개선
기술,국산NPU선도사업추진,로봇·드론등실증으로독자적피지컬 A생태계활성화
기술,비휘발성PIM반도체원천기술개발,
기술,,
기술,허브 SoC 플랫폼,차세대 메모리NPU 연계 통합 플랫폼
기술,CXL (Compute Express Link),A반도체메모리 확장을위한차세대인터페이스 기술
기술,DPU (Data Processing Unit),
기술,K-온디바이스 A반도체상용화 기술개30년까지 국산온디바이스A반도체 탑재 첨단 시제품10개 개발,
인프라및제도,K-NPU 테스트베드 구축 OS,"국산 NPU 실증용 대규모 인프라 구축, ('25)50PF->('27)155PF"
인프라및제도,공동성능평가지표(K-Perf),"표준 성능 측정 및 실환경 평가 체계,K-Perf 협의체 구성"
인프라및제도,판교 팝리스 지원센터,
인프라및제도 인프라및제도,광주 첨단패키징'클러스터 개방형 K-NPU SW 생태계 구축,"지역대학과 연구소등과 연계,설계-패키징 통합 검증 인프라 시스템SW부터 클라우드까지풀스택 개발,CUDA대용"
인프라및제도 인프라및제도,공공AX프로젝트 K-NPU 공공선도7대과제,"신규과제 국산NPU우선활용및 국산NPU등전면도입 확산 공공AX, 공공LLM, 공공 인프라, 치안AX, 국방AX, CCTV, 지역AX"
인프라및제도,,NPU 설비 투자 국가전략기술 세제혜택
인프라및제도,NPU 전용 컴퓨팅센터,실증및 상용화 집중 지원 허브
인프라및제도 인프라및제도,AI서버/카드 세부품명 신설 혁신제품 지정 및 우선구매,조달청 나라장터 전용 품목카테고리 AI반도체탑재제품공공 시범 구매
인프라및제도,첫구매자(First Buyer)제도,
인프라및제도 인프라및제도,AI반도체민·관 전략협의회,범국가 컨트를타워 거버넌스 가치사슬간소통협력체
인프라 및제도,,주력산업수요-공급 AX협력 채널
인프라및제도 인프라및제도,성장기업 자금지원,국민성장펀드내차세대A반도체대규모투·용자지원 A혁신펀드·KIF-우본펀드 및 반도체 생태계펀드등 2030년까지10개로 확대 운영 민-관 합동으로 반도체만 교육·연구하는전문 대학원대학 설립
인력및인재양성A반도체혁신연구소,,A반도체 대·중소·팝리스기업과대학이연계하여 연구·교육과정 운영
인력 및 인재양성Arm 스쿨(Arm School),,"프로젝트 중심 연구 수행 등을 통해 총860명 이상 양성 추진(~'30) 일리노이대와 연계한 A반도체 파견교육, 총150명 이내 양성(~'30) 반도체협회 주관 실습 위주 교육, 교육과정을 확대( 4개→30년6개) 공공 나노팝주도로 칩 제작 서비스를연계한학부 설계교육 글로벌 기술선도최상위급연구인력"
인력및인재양성현장중심 실무인재,,팝리스인력난해소즉시활용인력 수도권 외 지역 설계-패키징 인재
