과학기술정책,,내용
1123대 국정과제 ('25.8),"1.AIG3 도약및 전산업AX확산(국정바이오, 과기A, 제조,생태계, AX전주기) 2.초격차 전략기술 확보(반도체·이차전지)(국정, 과기AI,반도체,제조, 초혁신)","차세대 AI 반도체(NPU,PIM)및 고성능 이차전지 초격차 기술 확보"
,"4.차세대 네트워크(6G)및 지능형 인프라(국정, 과기A1, 네트워크)",6G 상용화 기술 확보 및 저궤도 위성통신 기반 초연결망 구축
"3과학기술×A국가전략 2AI·바이오 국가전략 (과기정통부,'25.12.18)","술 기 5.우주항공 및 해양 기술주권 확보(국정,바이오,제조,AX전주기) 8. 9. 6. 7. 양자 정보통신 및 미래소재 선점(국정,바이오,과기A,초혁신) 피지컬 AI 및 지능형 로봇 산업 육성(국정,바이오,제조,AX전주기)","그린수소 생산 및 소형모둘원자로(SMR) 상용화 기술 개발 양자 컴퓨팅 원천기술 및 초전도체,그래핀 등 게임체인저 소재 개발 독자적 항공엔진 개발 및 완전 자율운항 선박 핵심기술 확보 자율주행 소프트웨어(SDV)및 도심항공교통(UAM)상용화 데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보"
"(과기정통부,'25.11.22)","12.스마트 11. 디지털 농업 및 수산업 기술(국정,바이오, 초혁신) 콘텐츠 및 K-컬처 혁신(AX전주기,초혁신) 13. 디지털 트원 및 가상화 공정 혁신(국정, 과기AI, 제조,AX전주기)",
"(과기정통부,'25.12.18)","15.감염병 대응 및 공중보건 기술 자립(국정, 바이오, 과기Al) 1.국가 AI 컴퓨팅 인프라(GPU) 확충(과기AI, 반도체, 생태계, AX전주기)",mRNA백신 플랫폼 및 정밀 의료 기술 국산화
"(산업통상부,'25.12.18)","2.R&D 예비타당성 조사 폐지 및 신속 지원(국정, 바이오, 과기AI, 생태계)",
"(산업통상부,'25.12.22) 6제조AX추진방향","프 5. 4. 7. 정부 AX 원스톱 지원 및 공공 지능화(생태계, AX전주기) 데이터 기반 연구 생태계 구축(바이오, 과기AI, 생태계, AX전주기) 출연연 임무중심 체계 및 PBS 폐지(국정, 과기AI, 출연연,생태계) 민간 주도 벤처투자(TIPS)확산(국정, 팀스,초혁신)",국가연구데이터플랫폼(DataON) 고도화 및 데이터 공유 체계
,"8. 규제 샌드박스 및 실증 특례 확대(국정, 바이오,제조,AX전주기,초혁신)",신기술 도입의
"7기초연구 생태계 육성방안 (과기정통부,'25.12.18)","9. 10.과학기술 국제협력 및 글로벌 허브 구축(국정,과기AI,기초,초혁신) 연구개발 평가제도 혁신(등급 폐지)(국정, 기초,생태계)",실패를 걱정하지 해외 우수 기관과의 공동 연구 및 글로벌 오픈이노베이션 확대
"1정부AX사업 전주기 원스톱 지원방안 9과학기술분야 출연(연)정책방향 (과기정통부,행정안전부,'26.1.28) (중소벤처기업부,'25.12.18) (과기정통부'25.12.18) (과기정통부,'25.11.22)","도 재 인 4.Staff Scientist 및 전임연구원 제도(바이오,기초,출연연,생태계) 6.과학기술 영재학교 및 조기 인재 발굴(과기AI,생태계) 13.지역 주도 혁신 클러스터 및 특구 조성(국정,바이오, 팁스,초혁신) 14.국가 전략기술 보호 및 연구보안 강화(국정, 과기AI, 팁스,출연연) 1.A1·소프트웨어 5.신진연구자(Post-Doc) 정착 지원(국정, 기초,생태계) 7.여성 및 은퇴 과학기술인 경력 활용(국정,바이오,생태계) 11. 전략기술 세제 혜택 및 금융 지원 확대(국정, 반도체,제조,초혁신) 15.IRIS 통합 연구지원 시스템 고도화(과기AI,생태계) 2.석·박사급 고급 10.산업 밀착형 계약학과 11.전문연구요원 12.과학기술인 보상체계 및 성과급 확대(국정, 출연연,생태계) 12.7 도메인 지식+AI 융합 양손잡이 인재(과기AI,제조,AX전주기) 의사과학자(MD-Ph.D.)양성(국정,바이오,기초,초혁신) 기술사업화 및 기술이전 선순환 체계(국정,반도체,생태계) 연구인재 사다리 구축(과기AI,기초,출연연,생태계) 우대 전문인력 양성(국정, 과기AI, 네트워크, AX전주기) 및 및 실무 인력(국정,과기AI, 반도체)",기회발전특 핵심 기술 R&D 성과가 시경 AI 대학 A등 • 성과에 걸맞은 범부처 해외 전공 은 지식과AI 수요를 전 중심 연구자들에게 원 구 유출 정 분야 등 파격적인 장 방지를 줄 문 볼 인 커리큘 귀 오 성 전략 이어지도록 기술료 보상을 통한 연구 의욕 고취 H7논 특화 겸비한 줄이기 연 으로 바이오 통해 입을 실전형 융합 전문가 육성 연계한 거점 육성 ·지속성 확보 체계 전주기 즉시 투입 가능한 인재 육성 을통한 조기 육성 법적 지위 제공 위한 파격적 정주 지원 디지털 플랫폼 고도화 및 거버넌스 확립 경험 전수 지원 몰입 환경 조성 성장 지원 체계 및 지분 분배 제도 개선 공
"12초혁신경제 15대 프로젝트 추진계획 (기획재정부,'25.12.16) 기술정보통신부","14.연구지원인력 전문화 및 행정 부담 경감(국정, 기초,출연연,생태계) 13.재직자 AX 전환 교육 15.글로벌 파트너십 기반 해외 연수 지원(반도체, 기초,초혁신) 및 리스킬링(네트워크,제조,AX전주기)",• 해외 기술직 유수 대학·연구소와의 숙련 행정직을 노동자 공동 AI 도구 및 파견 기회 확대 융 잡무 분리
