exception_id,decision_key,policy_item_id,policy_id,policy_name,bucket_label,item_label,draft_resolution_category,final_decision_status,final_primary_strategy_id,final_secondary_strategy_ids,final_confidence,reviewer_name,reviewer_notes
STX-STR-010-001,SRD-POL-001-b7c6c2f050b4,ITM-POL-001-00434,POL-001,123대 국정과제,기술,어촌의료취약지대상보건소비대면진료‧ 원격협진체계신설,keep_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 어촌 의료취약지 비대면진료·원격협진 체계 신설은 STR-010의 직접 서비스 확산 과제다.
STX-STR-010-001,SRD-POL-001-22f71491bfe3,ITM-POL-001-00574,POL-001,123대 국정과제,기술,지역대표상권50곳조성및글로벌 진출역량을갖춘K-소상공인1천개사를 육성하고,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 소상공인 디지털 경쟁력·상권 육성은 범용 민생/디지털 전환 과제로 STR-010에 두기 어렵다.
STX-STR-010-001,SRD-POL-001-2a3f69fff2e3,ITM-POL-001-00261,POL-001,123대 국정과제,기술,디지털역기능대응을 통한이용자중심의안전한디지털환경조성,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털 역기능 대응과 이용자 안전 환경 조성은 범용 디지털 안전·규율 과제다.
STX-STR-010-001,SRD-POL-001-54fbacb46d29,ITM-POL-001-00260,POL-001,123대 국정과제,기술,디지털성범죄·교제폭력등새로운유형의폭력대응및피해자지원확대,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털 성범죄·교제폭력 대응은 사회안전/피해자 지원 과제로 STR-010과 직접 연결되지 않는다.
STX-STR-010-001,SRD-POL-001-57a82223169e,ITM-POL-001-00418,POL-001,123대 국정과제,기술,아동·청소년의주도적성장과디지털시민성함양도모및위기·취약 청소년빈틈없는지원,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털 시민성·취약 청소년 지원은 청소년 정책 범주로 특정 전략기술 축에 귀속하기 어렵다.
STX-STR-010-001,SRD-POL-001-5ec39d2b02ff,ITM-POL-001-00266,POL-001,123대 국정과제,기술,맞춤형통상협정체결및공급망·디지털·기후등신통상협정확대,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 신통상협정 확대는 외교·통상 총론으로 개별 전략기술 축 primary를 두기 어렵다.
STX-STR-010-001,SRD-POL-001-accdc13dc39e,ITM-POL-001-00531,POL-001,123대 국정과제,기술,정보주체권리보장강화,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 정보주체 권리·딥페이크 삭제요구권은 개인정보·디지털 권리 규율 과제다.
STX-STR-010-001,SRD-POL-001-af92cd2c4d79,ITM-POL-001-00308,POL-001,123대 국정과제,기술,보안이취약한지역·중소기업등보안사각지대지원강화,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 사이버보안 사각지대 지원은 중요하지만 현재 15대 전략 체계의 독립 축 밖이다.
STX-STR-010-001,SRD-POL-001-5735e9202368,ITM-POL-001-00949,POL-001,123대 국정과제,인프라·제도,콘텐츠+관련상품제조(K-팝+굿즈･화장품),keep_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: K-팝·디지털헬스·관광-뷰티가 섞인 복합 융합 row라 단일 primary 확정 위험이 크다.
STX-STR-010-001,SRD-POL-001-478f225fb7a9,ITM-POL-001-00821,POL-001,123대 국정과제,인프라·제도,비대면진료확대,keep_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 비대면진료 제도화는 STR-010의 직접 제도·서비스 확산 과제다.
STX-STR-010-001,SRD-POL-001-203c558c1073,ITM-POL-001-00777,POL-001,123대 국정과제,인프라·제도,디지털자산규율체계마련,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털자산 상장·공시·영업규제는 금융디지털 규율 과제로 STR-010에 둘 수 없다.
STX-STR-010-001,SRD-POL-001-35935eac1406,ITM-POL-001-00774,POL-001,123대 국정과제,인프라·제도,디지털성범죄강력대응,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털성범죄 대응 협력체계는 사회안전/피해구제 과제로 STR-010과 직접 연결되지 않는다.
STX-STR-010-001,SRD-POL-001-788b9c70f440,ITM-POL-001-00719,POL-001,123대 국정과제,인프라·제도,공급망내기업들과탄소배출정보를주고받는데이터플랫폼을구축 하여디지털제품여권등에도대응,demote_from_primary,reviewed,STR-006,,high,codex_manual_exception_review,STX-STR-010-001 reassign_primary: 탄소배출 데이터플랫폼과 디지털제품여권 대응은 탄소중립 공급망 대응으로 STR-006이 타당하다.
STX-STR-010-001,SRD-POL-001-b1843c686758,ITM-POL-001-00715,POL-001,123대 국정과제,인프라·제도,건전한디지털자산·블록체인생태계조성을 통해디지털자산산업성장및 투자자편익제고,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털자산·블록체인 생태계 조성은 금융·산업 총론으로 현재 전략체계 밖이다.
STX-STR-010-001,SRD-POL-001-bcb12bc59597,ITM-POL-001-00951,POL-001,123대 국정과제,인프라·제도,통신비경감,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 통신비 경감은 보편 통신복지 과제로 6G·지능형 인프라 전략과는 결이 다르다.
STX-STR-010-001,SRD-POL-001-c0a4730849d5,ITM-POL-001-00815,POL-001,123대 국정과제,인프라·제도,분산된디지털·미디어법제정비를 통해규제의예측가능성제고및 불필요한규제혁파와투자지원을...,demote_from_primary,reviewed,STR-011,,medium,codex_manual_exception_review,STX-STR-010-001 reassign_primary: 디지털·미디어 법제 정비와 미디어 미래성장동력 확보는 STR-011 콘텐츠/미디어 산업 진흥에 더 가깝다.
STX-STR-010-001,SRD-POL-001-c7d9b12d1800,ITM-POL-001-00775,POL-001,123대 국정과제,인프라·제도,디지털성범죄물및마약·도박등불법정보의신속한삭제·차단을위한 법·제도개선,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 불법정보 삭제·차단과 법제 개선은 범용 디지털 규율 과제다.
STX-STR-010-001,SRD-POL-001-ca534bc20f2a,ITM-POL-001-00776,POL-001,123대 국정과제,인프라·제도,디지털자산관련상품제도화,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털자산 현물 ETF 제도화는 금융규제 과제로 STR-010과 직접 연결되지 않는다.
STX-STR-010-001,SRD-POL-001-e95b676ce38b,ITM-POL-001-00880,POL-001,123대 국정과제,인프라·제도,의료데이터상호연계·공동활용기반마련및디지털기반의병원을 활용한연구플랫폼‧,keep_primary,reviewed,STR-010,STR-003,medium,codex_manual_exception_review,STX-STR-010-001 reviewed_with_split_flag: 의료데이터 상호연계와 디지털 기반 병원 연구플랫폼은 primary는 STR-010에 두되 바이오 연구 성격이 있어 STR-003 보조 매핑을 남긴다.
STX-STR-010-001,SRD-POL-001-f8114d652c9a,ITM-POL-001-00778,POL-001,123대 국정과제,인프라·제도,디지털자산규율체계마련및디지털자산현물ETF·토큰증권관련제도정비,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 디지털자산 규율·현물 ETF·토큰증권 제도정비는 금융시장 제도 과제다.
STX-STR-010-001,SRD-POL-001-b11f4337f715,ITM-POL-001-01039,POL-001,123대 국정과제,인재,아동·청소년온라인안전강화,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 아동·청소년 온라인 안전 강화는 디지털 권익/보호 과제로 전략기술 축 아님.
STX-STR-010-001,SRD-POL-001-bb448dc4a9a5,ITM-POL-001-01015,POL-001,123대 국정과제,인재,맞춤형예방교육등학교내신종디지털성범죄예방,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 학교 내 신종 디지털성범죄 예방은 교육·안전 정책으로 15대 전략 primary를 두기 어렵다.
STX-STR-010-001,SRD-POL-012-3207f0439153,ITM-POL-012-00860,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스케어,keep_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 수출전략 패키지로 직접 읽힌다.
STX-STR-010-001,SRD-POL-012-48dd2f85b8a3,ITM-POL-012-00968,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,해외수요확대,demote_from_primary,reviewed,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 의료 AI·의료기기 해외수요 확대라는 시장 맥락이 STR-010과 직접 연결된다.
STX-STR-010-001,SRD-POL-012-dab70a92dcb0,ITM-POL-012-00930,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,시기 세부 일정 [K-콘텐츠] 웹툰 제작비 세액공제 신규 추진 [K-콘텐츠] AI...,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: K-콘텐츠·초전도체·글로벌상업화 일정이 섞인 composite schedule row다.
STX-STR-010-001,SRD-POL-012-7fcbb7391bfd,ITM-POL-012-00898,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,국내시장성장한계,keep_primary,reviewed,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 디지털헬스 해외진출 수요의 배경 설명으로 STR-010 cluster에 남긴다.
STX-STR-010-001,SRD-POL-012-bc0be1062e6c,ITM-POL-012-00945,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,참 고 초혁신경제 15대 프로젝트 세부 일정 시기 세부 일정 [초전도체] 고온초전...,demote_from_primary,no_strategy,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 여러 프로젝트 세부 일정이 결합된 composite reference row다.
STX-STR-010-001,SRD-POL-012-05b69825f4ec,ITM-POL-012-00914,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업C,taxonomy_split_review,reviewed,STR-010,STR-001 | STR-003,medium,codex_manual_exception_review,STX-STR-010-001 reviewed_with_split_flag: 해외진출 맥락은 STR-010이 맞지만 AI 의료기기 데이터 확보 이슈가 강해 split candidate로 남긴다.
STX-STR-010-001,SRD-POL-012-2b1b525c44f9,ITM-POL-012-00913,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업B,keep_primary,reviewed,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외 의료기기 인허가·임상·실증 지원 애로는 STR-010 service/export cluster의 직접 근거다.
STX-STR-010-001,SRD-POL-012-0108242d7117,ITM-POL-012-00969,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,해외진출 규제사항 및 애로사항 해결을 위한 정책지원 사항 발굴,demote_from_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외진출 규제·애로 해결 정책지원은 STR-010 institutional support로 본다.
STX-STR-010-001,SRD-POL-012-0d300765cab2,ITM-POL-012-00859,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스위상강화를위한쇼케이스운영및기업홍보지원,keep_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 쇼케이스·홍보 지원은 service/export cluster의 직접 action이다.
STX-STR-010-001,SRD-POL-012-5197d55420de,ITM-POL-012-00858,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스 해외거점 확보 추진단,keep_primary,reviewed,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외거점 확보 추진단 구성은 STR-010 거버넌스/거점 구축 action이다.
STX-STR-010-001,SRD-POL-012-5f649775733f,ITM-POL-012-00911,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업 D,demote_from_primary,reviewed,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외 현지 데이터 접근과 물리적 공간 애로는 디지털헬스 해외진출 인프라 문제다.
STX-STR-010-001,SRD-POL-012-9129da9bf238,ITM-POL-012-00912,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업A,keep_primary,reviewed,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 사업화 실증 지원 수요는 STR-010 수출·실증 지원 cluster와 직접 연결된다.
STX-STR-010-001,SRD-POL-012-b40fee4789e1,ITM-POL-012-00910,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,데이터기반구축,taxonomy_split_review,reviewed,STR-010,STR-003,medium,codex_manual_exception_review,STX-STR-010-001 reviewed_with_split_flag: 디지털헬스 데이터 구축은 STR-010에 두되 바이오·헬스 R&D 성격이 강해 split candidate로 남긴다.
STX-STR-010-001,SRD-POL-012-e6fe05dd5d8b,ITM-POL-012-00922,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,빅데이터 기반 디지털의료기기 연구개발을 통해 글로벌 수준의 기술경쟁력 확보,taxonomy_split_review,reviewed,STR-010,STR-001 | STR-003,medium,codex_manual_exception_review,STX-STR-010-001 reviewed_with_split_flag: 빅데이터 기반 디지털의료기기 R&D는 STR-010에 두되 AI/바이오 축 보조 매핑과 split candidate 메모를 남긴다.
