classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-006-00001,paragraph_unit,PAR-DOC-POL-006-00001,DOC-POL-006,1,1,paragraph,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,초혁신경제 15대 선도프로젝트 추진계획(Ⅳ)
CLS-SEED-DOC-POL-006-00002,paragraph_unit,PAR-DOC-POL-006-00002,DOC-POL-006,2,1,paragraph,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,초혁신경제 15대 선도 프로젝트 추진계획 (Ⅳ) (요약)
CLS-SEED-DOC-POL-006-00003,paragraph_unit,PAR-DOC-POL-006-00003,DOC-POL-006,2,2,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ 추진배경
CLS-SEED-DOC-POL-006-00004,paragraph_unit,PAR-DOC-POL-006-00004,DOC-POL-006,2,3,bullet,yes,,,low,,,,,,,,,,review_required,,,"□ 인구구조변화, 투자위축, 생산성정체로잠재성장률의지속적 하락전망속에성장동력이둔화, 초혁신경제로의전환이시급"
CLS-SEED-DOC-POL-006-00005,paragraph_unit,PAR-DOC-POL-006-00005,DOC-POL-006,2,4,bullet,yes,technology,개발|고도화|확보,high,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,low,TD-002,에너지,,,high,review_required,primary_score=4 | tech_score=11,,"□ 경제안보, 에너지전환, 식량위기대응을위한선제적지원과 기술개발·산업고도화로글로벌시장주도권확보필요"
CLS-SEED-DOC-POL-006-00006,paragraph_unit,PAR-DOC-POL-006-00006,DOC-POL-006,2,5,bullet,yes,,,low,,,,,,,,,,review_required,,,"□ ｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에이어네번째추진계획을마련·발표"
CLS-SEED-DOC-POL-006-00007,paragraph_unit,PAR-DOC-POL-006-00007,DOC-POL-006,2,6,note,review,,,low,STR-014,핵심 전략기술 자립 (LNG화물창·특수강),,high,TD-005,소재,TSD-005-005,탄소,medium,review_required,primary_score=14 | tech_score=6; subdomain=TSD-005-005,,"* (9.10) SiC전력반도체, LNG화물창, 그래핀, 특수탄소강, K-식품"
CLS-SEED-DOC-POL-006-00008,paragraph_unit,PAR-DOC-POL-006-00008,DOC-POL-006,2,7,note,review,technology,개발,medium,STR-005,우주항공 및 해양 기술주권 확보,STR-003,medium,,,,,,review_required,primary_score=6; secondary_score=5,,"** (10.20) 스마트농․수산업, 초고해상도 위성개발·활용, AI 바이오 오픈생태계 구축, K-뷰티"
CLS-SEED-DOC-POL-006-00009,paragraph_unit,PAR-DOC-POL-006-00009,DOC-POL-006,2,8,note,review,,,low,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,high,TD-002,에너지,TSD-002-002,전력망,high,review_required,primary_score=25 | tech_score=15; subdomain=TSD-002-002,,"*** (11.26) 차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR"
CLS-SEED-DOC-POL-006-00010,paragraph_unit,PAR-DOC-POL-006-00010,DOC-POL-006,2,9,note,review,,,low,STR-002,초격차 전략기술 확보 (반도체·이차전지),,low,,,,,,review_required,primary_score=5,,※ 업계 및 전문가 의견을 반영하여 “SiC전력반도체”를 GaN전력반도체도 포함하는 “차세대 전력반도체” 프로젝트로 변경․추진
