classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-004-00001,paragraph_unit,PAR-DOC-POL-004-00001,DOC-POL-004,section0,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-004-00002,paragraph_unit,PAR-DOC-POL-004-00002,DOC-POL-004,section0,2,bullet,yes,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,ㅇ 「과학기술×AI 국가전략(안)」을 별지와 같이 의결함
CLS-SEED-DOC-POL-004-00003,paragraph_unit,PAR-DOC-POL-004-00003,DOC-POL-004,section0,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-004-00004,paragraph_unit,PAR-DOC-POL-004-00004,DOC-POL-004,section0,4,bullet,yes,technology,개발,medium,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,ㅇ 과학기술 R&D와 AI의 융합을 통해 연구개발의 혁신성‧질적수준을 획기적으로 높이기 위해 「과학기술×AI 국가전략(안)」 수립·시행
CLS-SEED-DOC-POL-004-00005,paragraph_unit,PAR-DOC-POL-004-00005,DOC-POL-004,section0,5,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-004-00006,paragraph_unit,PAR-DOC-POL-004-00006,DOC-POL-004,section0,6,bullet,review,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,□ 추진 배경
CLS-SEED-DOC-POL-004-00007,paragraph_unit,PAR-DOC-POL-004-00007,DOC-POL-004,section0,7,bullet,yes,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,ㅇ AI가 과학적 발견의 핵심 엔진으로 부상함에 따라 美‧中‧EU 등 주요국 및 글로벌 빅테크는 과학기술 AI 경쟁 본격화
CLS-SEED-DOC-POL-004-00008,paragraph_unit,PAR-DOC-POL-004-00008,DOC-POL-004,section0,8,bullet,yes,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,"☞ 지금은 과학기술 AI 경쟁의 주도권을 확보할 수 있는 골든타임, 기술‧인프라‧인재‧산업을 아우르는 전주기 전략을 통해 국가역량 총결집 필요"
CLS-SEED-DOC-POL-004-00009,paragraph_unit,PAR-DOC-POL-004-00009,DOC-POL-004,section0,9,bullet,yes,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,□ 현황진단 및 추진방향
CLS-SEED-DOC-POL-004-00010,paragraph_unit,PAR-DOC-POL-004-00010,DOC-POL-004,section0,10,bullet,yes,,,low,STR-001,AI G3 도약 및 전 산업 AX 확산,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,"ㅇ (강점(S)) 바이오, 재료·화학, 반도체 등 강점분야 연구‧산업 역량 및 세계적 수준의 AI 경쟁력(3위권 그룹) 보유"
