classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-009-00001,paragraph_unit,PAR-DOC-POL-009-00001,DOC-POL-009,section2,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-009-00002,paragraph_unit,PAR-DOC-POL-009-00002,DOC-POL-009,section2,2,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ ｢기초연구 생태계 육성 방안(안)｣을 별지와 같이 의결함
CLS-SEED-DOC-POL-009-00003,paragraph_unit,PAR-DOC-POL-009-00003,DOC-POL-009,section2,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-009-00004,paragraph_unit,PAR-DOC-POL-009-00004,DOC-POL-009,section2,4,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ 기초연구 지원 40주년을 앞두고, 위축된 연구생태계를 되살리고 세계적인 성과를 창출하는 연구생태계로 한 단계 도약하기 위한 ｢기초연구 생태계 육성 방안(안)｣을 수립․추진하고자 함"
CLS-SEED-DOC-POL-009-00005,paragraph_unit,PAR-DOC-POL-009-00005,DOC-POL-009,section2,5,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-009-00006,paragraph_unit,PAR-DOC-POL-009-00006,DOC-POL-009,section2,6,bullet,review,,,low,,,,,,,,,,review_required,,,□ 추진 배경
CLS-SEED-DOC-POL-009-00007,paragraph_unit,PAR-DOC-POL-009-00007,DOC-POL-009,section2,7,bullet,yes,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,"ㅇ 기초연구 생태계의 양적 성장에도 불구, 투자 대비 질적 성과는 감소하고 있으며, R&D 예산삭감으로 생태계의 위축도 겪은 상황"
CLS-SEED-DOC-POL-009-00008,paragraph_unit,PAR-DOC-POL-009-00008,DOC-POL-009,section2,8,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 연구역량의 장기간 축적으로 연구생산성이 향상되고, 세계적 성과가 창출될 수 있도록 생태계 복원을 넘어 한 단계 도약을 모색할 시점"
CLS-SEED-DOC-POL-009-00009,paragraph_unit,PAR-DOC-POL-009-00009,DOC-POL-009,section2,9,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 기초연구 현황 진단
CLS-SEED-DOC-POL-009-00010,paragraph_unit,PAR-DOC-POL-009-00010,DOC-POL-009,section2,10,bullet,yes,talent,양성,medium,,,,,,,,,,review_required,,,"ㅇ (수혜율) 기초연구 투자가 지속 증가하였음에도 과제 수 감소 등으로 인해 교원 수혜율 감소*, 이는 기초연구 저변과 다양성 축소로 연결"
CLS-SEED-DOC-POL-009-00011,paragraph_unit,PAR-DOC-POL-009-00011,DOC-POL-009,section2,11,note,review,,,low,,,,,,,,,,review_required,,,"* 전체 수혜율은 ‘24년, 20% 밑으로 하락 / 신진 교원 수혜율도 ’23년 급격히 하락"
CLS-SEED-DOC-POL-009-00012,paragraph_unit,PAR-DOC-POL-009-00012,DOC-POL-009,section2,12,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (학술성과) 상위 10%/1% 논문 등 우수 학술성과는 양적으로 지속 증가하고 있으나, 투자 금액당 실적은 하락하여 연구생산성 정체 중"
CLS-SEED-DOC-POL-009-00013,paragraph_unit,PAR-DOC-POL-009-00013,DOC-POL-009,section2,13,bullet,yes,talent,인력|연구자,high,,,,,,,,,,review_required,,,"ㅇ (우수인력) 세계 최고 권위의 학술상(노벨상, 울프상 등) 수상자 부재, 상위 1% 연구자(HCR) 등 최우수 석학은 선진국(日·英·獨) 대비 부족*"
