classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-002-00001,paragraph_unit,PAR-DOC-POL-002-00001,DOC-POL-002,section2,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-002-00002,paragraph_unit,PAR-DOC-POL-002-00002,DOC-POL-002,section2,2,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=9 | tech_score=7; subdomain=TSD-001-001,,ㅇ 「AI 바이오 국가전략(안)」을 별지와 같이 의결함
CLS-SEED-DOC-POL-002-00003,paragraph_unit,PAR-DOC-POL-002-00003,DOC-POL-002,section2,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-002-00004,paragraph_unit,PAR-DOC-POL-002-00004,DOC-POL-002,section2,4,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=9 | tech_score=7; subdomain=TSD-001-001,,ㅇ AI 기반 바이오 혁신을 통해 인류 건강과 미래산업을 선도하는 글로벌 허브국가로 도약하기 위한 ｢AI 바이오 국가전략(안)｣ 수립·시행
CLS-SEED-DOC-POL-002-00005,paragraph_unit,PAR-DOC-POL-002-00005,DOC-POL-002,section2,5,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-002-00006,paragraph_unit,PAR-DOC-POL-002-00006,DOC-POL-002,section2,6,bullet,review,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,□ 추진 배경
CLS-SEED-DOC-POL-002-00007,paragraph_unit,PAR-DOC-POL-002-00007,DOC-POL-002,section2,7,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,high,review_required,primary_score=6 | tech_score=10; subdomain=TSD-001-001,,"ㅇ 최근 ‘두뇌’ 역할을 하는 바이오 파운데이션 모델과 ‘과학기술 연구동료’인 에이전틱 AI를 활용한 지능형·자동화 연구로 속도↑, 실패↓* 효과"
CLS-SEED-DOC-POL-002-00008,paragraph_unit,PAR-DOC-POL-002-00008,DOC-POL-002,section2,8,note,review,technology,개발,medium,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-011,첨단바이오,TSD-011-001,바이오·의료기술,high,review_required,primary_score=9 | tech_score=10; subdomain=TSD-011-001,,"* 수주~수개월이 걸리는 실험 프로세스 → 수일로 단축, 매주 수백만건의 데이터 생성 전통적 신약개발 방식의 임상1상 성공률 52% → AI 활용 시 성공률은 80% 이상"
CLS-SEED-DOC-POL-002-00009,paragraph_unit,PAR-DOC-POL-002-00009,DOC-POL-002,section2,9,bullet,yes,technology,확보,medium,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=9 | tech_score=7; subdomain=TSD-001-001,,ㅇ 글로벌 주요국은 AI 바이오 주도권을 확보하기 위한 총력전에 돌입
CLS-SEED-DOC-POL-002-00010,paragraph_unit,PAR-DOC-POL-002-00010,DOC-POL-002,section2,10,note,review,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,※ (美) 국가 과학기술체계 전반을 AI 중심으로 재편하는 ‘제네시스 미션’ 행정명령 발표(11.24.)
CLS-SEED-DOC-POL-002-00011,paragraph_unit,PAR-DOC-POL-002-00011,DOC-POL-002,section2,11,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 우리의 현주소
CLS-SEED-DOC-POL-002-00012,paragraph_unit,PAR-DOC-POL-002-00012,DOC-POL-002,section2,12,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,□ 비전 및 추진전략
CLS-SEED-DOC-POL-002-00013,paragraph_unit,PAR-DOC-POL-002-00013,DOC-POL-002,section2,13,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-001,,□ 전략별 추진과제
CLS-SEED-DOC-POL-002-00014,paragraph_unit,PAR-DOC-POL-002-00014,DOC-POL-002,section2,14,bullet,yes,,,low,STR-003,바이오·헬스 글로벌 중심국가 도약,,medium,TD-001,인공지능,TSD-001-001,AI 한계극복·성능향상,high,review_required,primary_score=9 | tech_score=10; subdomain=TSD-001-001,,ㅇ (범용 모델 구축) ‘(가칭)국가 AI 바이오 연구소’를 중심으로 멀티모달-멀티스케일 바이오 파운데이션 모델 구축·개방 및 산업활용 확산
