classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-011-00001,paragraph_unit,PAR-DOC-POL-011-00001,DOC-POL-011,section2,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-011-00002,paragraph_unit,PAR-DOC-POL-011-00002,DOC-POL-011,section2,2,bullet,yes,,,low,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,medium,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-004,,ㅇ 「AI시대 대한민국 네트워크 전략(안)」을 별지와 같이 의결함
CLS-SEED-DOC-POL-011-00003,paragraph_unit,PAR-DOC-POL-011-00003,DOC-POL-011,section2,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-011-00004,paragraph_unit,PAR-DOC-POL-011-00004,DOC-POL-011,section2,4,bullet,yes,,,low,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,high,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,medium,review_required,primary_score=16 | tech_score=7; subdomain=TSD-001-004,,ㅇ 대한민국 ‘AI고속도로(국정과제20)’ 완성을 위한 필수 인프라이자 국가 전략산업인 차세대 네트워크 고도화를 위한 종합 전략 수립
CLS-SEED-DOC-POL-011-00005,paragraph_unit,PAR-DOC-POL-011-00005,DOC-POL-011,section2,5,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-011-00006,paragraph_unit,PAR-DOC-POL-011-00006,DOC-POL-011,section2,6,bullet,review,,,low,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,medium,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,medium,review_required,primary_score=6 | tech_score=7; subdomain=TSD-001-004,,□ 추진 배경
CLS-SEED-DOC-POL-011-00007,paragraph_unit,PAR-DOC-POL-011-00007,DOC-POL-011,section2,7,bullet,yes,infrastructure_policy,인프라,medium,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,high,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,medium,review_required,primary_score=11 | tech_score=7; subdomain=TSD-001-004,,"ㅇ AI 혁명 시대, 대규모 컴퓨팅 인프라·데이터를 상호 연결하는 네트워크는 ‘AI고속도로’ 완성을 위한 필수 인프라"
CLS-SEED-DOC-POL-011-00008,paragraph_unit,PAR-DOC-POL-011-00008,DOC-POL-011,section2,8,bullet,yes,technology,고도화,medium,STR-001,AI G3 도약 및 전 산업 AX 확산,STR-004,high,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,medium,review_required,primary_score=10; secondary_score=9 | tech_score=7; subdomain=TSD-001-004,,ㅇ 대한민국 ‘AI고속도로’ 완성과 ‘AI G3 강국’ 도약을 위한 국가 네트워크 全 영역의 대대적 고도화와 산업 혁신 요구
CLS-SEED-DOC-POL-011-00009,paragraph_unit,PAR-DOC-POL-011-00009,DOC-POL-011,section2,9,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 현황 및 문제점
CLS-SEED-DOC-POL-011-00010,paragraph_unit,PAR-DOC-POL-011-00010,DOC-POL-011,section2,10,bullet,yes,,,low,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-004,medium,TD-001,인공지능,TSD-001-004,AI 컴퓨팅·네트워크,high,review_required,primary_score=7; secondary_score=6 | tech_score=13; subdomain=TSD-001-004,,ㅇ 미래 AI에이전트·피지컬AI의 발전과 확산으로 인해 이전과 차원이 다른 네트워크를 요구
