classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-003-00001,paragraph_unit,PAR-DOC-POL-003-00001,DOC-POL-003,section0,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-003-00002,paragraph_unit,PAR-DOC-POL-003-00002,DOC-POL-003,section0,2,bullet,yes,,,low,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-008,첨단로봇제조,TSD-008-006,제조 데이터,high,review_required,primary_score=7 | tech_score=10; subdomain=TSD-008-006,,ㅇ 「제조AX (M.AX) 추진방향(안)」을 별지와 같이 의결함
CLS-SEED-DOC-POL-003-00003,paragraph_unit,PAR-DOC-POL-003-00003,DOC-POL-003,section0,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-003-00004,paragraph_unit,PAR-DOC-POL-003-00004,DOC-POL-003,section0,4,bullet,yes,,,low,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-001,인공지능,TSD-001-007,산업 AX,high,review_required,primary_score=7 | tech_score=14; subdomain=TSD-001-007,,ㅇ 인공지능을 활용하여 우리 제조업의 DNA를 근본적으로 혁신하는 ‘제조AX(M.AX)’를 정책을 시행하고자 관련 추진 방향을 수립함
CLS-SEED-DOC-POL-003-00005,paragraph_unit,PAR-DOC-POL-003-00005,DOC-POL-003,section0,5,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-003-00006,paragraph_unit,PAR-DOC-POL-003-00006,DOC-POL-003,section0,6,bullet,review,,,low,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-008,첨단로봇제조,TSD-008-006,제조 데이터,high,review_required,primary_score=7 | tech_score=10; subdomain=TSD-008-006,,□ 추진 배경
CLS-SEED-DOC-POL-003-00007,paragraph_unit,PAR-DOC-POL-003-00007,DOC-POL-003,section0,7,bullet,yes,,,low,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-008,첨단로봇제조,TSD-008-006,제조 데이터,high,review_required,primary_score=7 | tech_score=10; subdomain=TSD-008-006,,"ㅇ 대내외 복합 위기에 처한 우리 제조업의 혁신이 시급한 시점에서, 풍부한 제조데이터 등 우리의 여건을 십분 활용하여 제조AX 추진"
CLS-SEED-DOC-POL-003-00008,paragraph_unit,PAR-DOC-POL-003-00008,DOC-POL-003,section0,8,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 제조AX 3대 전략
CLS-SEED-DOC-POL-003-00009,paragraph_unit,PAR-DOC-POL-003-00009,DOC-POL-003,section0,9,bullet,yes,,,low,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-008,첨단로봇제조,TSD-008-006,제조 데이터,high,review_required,primary_score=7 | tech_score=10; subdomain=TSD-008-006,,□ 3대 전략별 추진과제
CLS-SEED-DOC-POL-003-00010,paragraph_unit,PAR-DOC-POL-003-00010,DOC-POL-003,section0,10,bullet,yes,technology,개발,medium,STR-013,디지털 트윈 및 가상화 공정 혁신,,medium,TD-008,첨단로봇제조,TSD-008-006,제조 데이터,high,review_required,primary_score=7 | tech_score=10; subdomain=TSD-008-006,,"ㅇ 1,000여개 산·학·연이 결집한 「M.AX 얼라이언스」를 중심으로, 데이터 공유부터 제품 개발까지 제조AX 全과정의 혁신 생태계 조성"
