review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-POL-004-JS-001,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-001,1,1,,layout_false_positive,empty_table_box,no,,,review_required,,0,IN_FRONT_OF_TEXT
TRV-DOC-POL-004-JS-002,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-002,2,4,"의안번호 | 제 4 호 | 의결
사항",layout_false_positive,front_matter_table,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-003,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-003,1,1,"AI로 과학기술 패러다임 전환 가속화
과학기술×AI 국가전략(안)",layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-004,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-004,1,1,과학기술관계장관회의,layout_false_positive,front_matter_table,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-005,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-005,4,5,제 출 자 | 과학기술정보통신부장관 | 배경훈 | 교육부장관,layout_false_positive,front_matter_table,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-006,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-006,1,1,과학기술×AI 국가전략(안) (요약),layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-007,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-007,1,1,"☞ (추진방향) ➊ 기술·인재‧인프라‧산업을 아우르는 전 주기 지원
+ ➋ 정부-산업-연구계 원팀으로 국가적 역량 결집",layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-008,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-008,1,3,1 | 과학기술 AI 핵심기술 확보,layout_false_positive,single_row_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-009,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-009,1,1,As-is,layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-010,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-010,1,3,2 | 과학기술 AI 융합인재 양성,layout_false_positive,single_row_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-011,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-011,1,1,As-is,layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-012,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-012,1,3,3 | 핵심 인프라 및 산·학·연 협력 생태계 구축,layout_false_positive,single_row_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-013,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-013,1,1,As-is,layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-014,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-014,1,3,4 | 과학기술 AI 산업 생태계 고도화,layout_false_positive,single_row_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
TRV-DOC-POL-004-JS-015,DOC-POL-004,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-004-015,1,1,As-is,layout_false_positive,single_cell_layout_box,no,,,review_required,,1,TOP_AND_BOTTOM
