merge_candidate_id,document_id,page_no,review_priority,suggested_reviewer_action,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,merge_confidence,item_label_draft,item_statement_draft,primary_seed_id,member_seed_ids,supporting_review_seed_ids,member_count,supporting_review_count,primary_text
PMD-DOC-POL-006-0001,DOC-POL-006,2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,technology,STR-014 | STR-005 | STR-003 | STR-006 | STR-002,TD-005 | TD-002,TSD-005-005 | TSD-002-002,medium,｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10),"□ ｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에이어네번째추진계획을마련·발표",CLS-SEED-DOC-POL-006-00006,CLS-SEED-DOC-POL-006-00006,CLS-SEED-DOC-POL-006-00007 | CLS-SEED-DOC-POL-006-00008 | CLS-SEED-DOC-POL-006-00009 | CLS-SEED-DOC-POL-006-00010,1,4,"□ ｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에이어네번째추진계획을마련·발표"
PMD-DOC-POL-006-0002,DOC-POL-006,2,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,detected_soft_problem_but_action_overrides,technology,,,,medium,초혁신경제,"□ (초혁신경제) 추격형경제의한계를극복하고선도형경제로나아가기 위해초혁신기술개발, 미래대응, 글로벌시장진출에집중투자",CLS-SEED-DOC-POL-006-00013,CLS-SEED-DOC-POL-006-00013,,1,0,"□ (초혁신경제) 추격형경제의한계를극복하고선도형경제로나아가기 위해초혁신기술개발, 미래대응, 글로벌시장진출에집중투자"
PMD-DOC-POL-006-0003,DOC-POL-006,2,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,infrastructure_policy,,,,medium,구체적인 프로젝트,□ (구체적인 프로젝트) 구체적인 프로젝트(Kingpin)에대해재정·세제·금융·규제개선등국가역량을총동원한집중지원으로가시적 성과 창출,CLS-SEED-DOC-POL-006-00014,CLS-SEED-DOC-POL-006-00014,CLS-SEED-DOC-POL-006-00015,1,1,□ (구체적인 프로젝트) 구체적인 프로젝트(Kingpin)에대해재정·세제·금융·규제개선등국가역량을총동원한집중지원으로가시적 성과 창출
PMD-DOC-POL-006-0004,DOC-POL-006,2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,,,,,medium,추진단 구성,"□ (추진단 구성) 기업을 중심으로한민관합동추진단을프로젝트별로 구성하고, 정부는민간을적극지원․뒷받침",CLS-SEED-DOC-POL-006-00016,CLS-SEED-DOC-POL-006-00016,,1,0,"□ (추진단 구성) 기업을 중심으로한민관합동추진단을프로젝트별로 구성하고, 정부는민간을적극지원․뒷받침"
PMD-DOC-POL-006-0005,DOC-POL-006,2,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,infrastructure_policy,STR-003,TD-011,TSD-011-001,medium,선정절차,"□ (선정절차) 국정과제와의 연계성*, 관계부처** 및 지자체 의견, 현장방문 및 민관협의체, 전문가의견 등을 통해 선정",CLS-SEED-DOC-POL-006-00018,CLS-SEED-DOC-POL-006-00018,CLS-SEED-DOC-POL-006-00019 | CLS-SEED-DOC-POL-006-00020,1,2,"□ (선정절차) 국정과제와의 연계성*, 관계부처** 및 지자체 의견, 현장방문 및 민관협의체, 전문가의견 등을 통해 선정"
PMD-DOC-POL-006-0006,DOC-POL-006,3,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,infrastructure_policy,,,,medium,3대분야,"□ 3대분야, 15대프로젝트에대해기술개발, 인력, 금융, 해외진출·입지지원, 규제개선등패키지지원으로’30년까지잠재성장률반등도모",CLS-SEED-DOC-POL-006-00030,CLS-SEED-DOC-POL-006-00030,,1,0,"□ 3대분야, 15대프로젝트에대해기술개발, 인력, 금융, 해외진출·입지지원, 규제개선등패키지지원으로’30년까지잠재성장률반등도모"
PMD-DOC-POL-006-0007,DOC-POL-006,3,high,drop_or_attach_background,review_required,,,,,,,,,,,,meta_program_frame,detected_program_frame_keyword,infrastructure_policy,,,,medium,실무 추진협의체,□ (실무 추진협의체) 추진상황모니터링및부처간협조사항논의를 위해실무추진협의체(간사기재부차관보)를구성․운영,CLS-SEED-DOC-POL-006-00033,CLS-SEED-DOC-POL-006-00033,,1,0,□ (실무 추진협의체) 추진상황모니터링및부처간협조사항논의를 위해실무추진협의체(간사기재부차관보)를구성․운영
PMD-DOC-POL-006-0008,DOC-POL-006,3,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,infrastructure_policy,,,,medium,추진단,□ (추진단) 「기업+ 주관부처·관계기관+ 기재부*(지원)」등으로 프로젝트별추진단을구성하여단기간내성과 창출 도모,CLS-SEED-DOC-POL-006-00034,CLS-SEED-DOC-POL-006-00034,CLS-SEED-DOC-POL-006-00035,1,1,□ (추진단) 「기업+ 주관부처·관계기관+ 기재부*(지원)」등으로 프로젝트별추진단을구성하여단기간내성과 창출 도모
PMD-DOC-POL-006-0009,DOC-POL-006,3,high,drop_or_attach_background,review_required,,,,,,,,,,,,meta_program_frame,detected_program_frame_keyword,infrastructure_policy,,,,medium,20개추진단별’27년예산사업발굴등세부실행계획업데이트(~’26.4월),□ 20개추진단별’27년예산사업발굴등세부실행계획업데이트(~’26.4월),CLS-SEED-DOC-POL-006-00038,CLS-SEED-DOC-POL-006-00038,,1,0,□ 20개추진단별’27년예산사업발굴등세부실행계획업데이트(~’26.4월)
PMD-DOC-POL-006-0010,DOC-POL-006,4,low,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,,,TD-005,,medium,첨단소재․부품,□ (첨단소재․부품) 산업생태계의게임체인저육성으로생산성제고,CLS-SEED-DOC-POL-006-00040,CLS-SEED-DOC-POL-006-00040,,1,0,□ (첨단소재․부품) 산업생태계의게임체인저육성으로생산성제고
