merge_candidate_id,document_id,page_no,review_priority,suggested_reviewer_action,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,merge_confidence,item_label_draft,item_statement_draft,primary_seed_id,member_seed_ids,supporting_review_seed_ids,member_count,supporting_review_count,primary_text
PMD-DOC-POL-005-0001,DOC-POL-005,section2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,starter drop adopted-title frame,meta_program_frame,detected_program_frame_keyword,technology,,,,medium,「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 별지와 같이 의결함,ㅇ 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 별지와 같이 의결함,CLS-SEED-DOC-POL-005-00002,CLS-SEED-DOC-POL-005-00002,,1,0,ㅇ 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 별지와 같이 의결함
PMD-DOC-POL-005-0002,DOC-POL-005,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach overview purpose,policy_action,,talent,,,,medium,훼손된 연구생태계의 복원을 넘어,"ㅇ 훼손된 연구생태계의 복원을 넘어, 연구자의 도전-몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 관계부처* 합동으로 수립‧시행하고자 함",CLS-SEED-DOC-POL-005-00004,CLS-SEED-DOC-POL-005-00004,CLS-SEED-DOC-POL-005-00005,1,1,"ㅇ 훼손된 연구생태계의 복원을 넘어, 연구자의 도전-몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 관계부처* 합동으로 수립‧시행하고자 함"
PMD-DOC-POL-005-0003,DOC-POL-005,section2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,starter drop section header,meta_program_frame,detected_program_frame_keyword,,,,,medium,추진 배경 및 경과,□ 추진 배경 및 경과,CLS-SEED-DOC-POL-005-00007,CLS-SEED-DOC-POL-005-00007,,1,0,□ 추진 배경 및 경과
PMD-DOC-POL-005-0004,DOC-POL-005,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach umbrella direction,policy_action,,,,,,medium,☞ 연구 생태계의 복원을 넘어,"☞ 연구 생태계의 복원을 넘어, 연구자의 도전·몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 ‘연구개발 생태계 혁신방안’ 마련 추진",CLS-SEED-DOC-POL-005-00009,CLS-SEED-DOC-POL-005-00009,,1,0,"☞ 연구 생태계의 복원을 넘어, 연구자의 도전·몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 ‘연구개발 생태계 혁신방안’ 마련 추진"
PMD-DOC-POL-005-0005,DOC-POL-005,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach process history,policy_action,,technology,,,,medium,경과,ㅇ (경과) 과제의 발굴부터 해결방안 도출까지 철저하게 현장 중심으로 이루어지도록 다양한 방법*으로 과학기술계 의견 적극 청취-반영,CLS-SEED-DOC-POL-005-00010,CLS-SEED-DOC-POL-005-00010,CLS-SEED-DOC-POL-005-00011,1,1,ㅇ (경과) 과제의 발굴부터 해결방안 도출까지 철저하게 현장 중심으로 이루어지도록 다양한 방법*으로 과학기술계 의견 적극 청취-반영
PMD-DOC-POL-005-0006,DOC-POL-005,section2,high,attach_as_background,reviewed,attach_as_background,,,,,,,,,,starter attach problem framing,background_context,detected_background_keyword,,,,,medium,현장의 문제인식을 바탕으로,"ㅇ 현장의 문제인식을 바탕으로, 다음 세대의 꿈이 될 과학기술자가 나오기 어려운 현재 연구환경의 구조적 한계 분석 및 과제 도출",CLS-SEED-DOC-POL-005-00013,CLS-SEED-DOC-POL-005-00013,,1,0,"ㅇ 현장의 문제인식을 바탕으로, 다음 세대의 꿈이 될 과학기술자가 나오기 어려운 현재 연구환경의 구조적 한계 분석 및 과제 도출"
PMD-DOC-POL-005-0007,DOC-POL-005,section2,medium,keep_or_merge,reviewed,keep,,talent,,,,,,연구 몰입 환경 구축,연구가 최우선이 되는 연구 몰입 환경을 구축한다.,starter keep pillar action,policy_action,,talent,,,,medium,연구자 중심,ㅇ (연구자 중심) 연구가 가장 최우선시되는 연구몰입 환경 구축,CLS-SEED-DOC-POL-005-00014,CLS-SEED-DOC-POL-005-00014,,1,0,ㅇ (연구자 중심) 연구가 가장 최우선시되는 연구몰입 환경 구축
PMD-DOC-POL-005-0008,DOC-POL-005,section2,medium,keep_or_merge,reviewed,keep,,infrastructure_institutional,,,,,,혁신 주체 지원 체계 구축,"출연연, 대학, 기업이 본연의 역할을 수행할 수 있도록 혁신 주체 지원 체계를 정비한다.",starter keep pillar action with bucket override,policy_action,,,,,,medium,혁신주체 역량 제고,"ㅇ (혁신주체 역량 제고) 출연연, 대학, 기업 본연의 역할을 지원하는 체계",CLS-SEED-DOC-POL-005-00015,CLS-SEED-DOC-POL-005-00015,,1,0,"ㅇ (혁신주체 역량 제고) 출연연, 대학, 기업 본연의 역할을 지원하는 체계"
PMD-DOC-POL-005-0009,DOC-POL-005,section2,medium,keep_or_merge,reviewed,keep,,infrastructure_institutional,,,,,,연구자·연구기관 성장 지원 시스템 구축,연구자와 연구기관의 성장을 뒷받침하는 정부 시스템을 구축한다.,starter keep pillar action with bucket override,policy_action,,talent,,,,medium,R&D기반 강화,ㅇ (R&D기반 강화) 연구자와 연구기관의 성장을 뒷받침하는 정부 시스템,CLS-SEED-DOC-POL-005-00016,CLS-SEED-DOC-POL-005-00016,,1,0,ㅇ (R&D기반 강화) 연구자와 연구기관의 성장을 뒷받침하는 정부 시스템
PMD-DOC-POL-005-0010,DOC-POL-005,section2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,starter drop section header,meta_program_frame,detected_program_frame_keyword,,,,,medium,추진 전략 및 과제,□ 추진 전략 및 과제,CLS-SEED-DOC-POL-005-00017,CLS-SEED-DOC-POL-005-00017,,1,0,□ 추진 전략 및 과제
