review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-POL-002-JS-001,DOC-POL-002,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-002-001,1,1,,layout_false_positive,empty_table_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,0,IN_FRONT_OF_TEXT
TRV-DOC-POL-002-JS-002,DOC-POL-002,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-002-002,2,4,"의안번호 | 제 5 호 | 의결
사항",layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-003,DOC-POL-002,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-002-003,1,1,AI 바이오 국가전략(안),layout_false_positive,single_cell_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-004,DOC-POL-002,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-002-004,1,1,과학기술관계장관회의,layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-005,DOC-POL-002,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-002-005,5,5,제 출 자 | 기획재정부장관 | 구윤철 | 과학기술정보통신부장관,layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-006,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-006,1,1,AI 바이오 국가전략(안) (요약),layout_false_positive,single_cell_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-007,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-007,2,3,"규제 | 정책
▪ 바이오 분야 AI 활용 확산에 총력
▪ 정부투자만으로 AI 바이오 연구개발 수요 충족에 한계 | 데이터·인프라
▪ 바이오데이터 규모·개방성 ·활용성 측면에 한계
▪ 바이오 분야에 활용가능한 컴퓨팅 인프라 부족",layout_false_positive,small_hwpx_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-008,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-008,1,3,1 | 5대 분야 AI 바이오 모델 구축·개발 및 적용,layout_false_positive,single_row_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-009,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-009,8,5,분야 | 추진방향 | 추진과제,structured_table,hwpx_matrix_table,yes,,CTBL-DOC-POL-002-001,reviewed,1차 heuristic seed. 구조표 후보로 유지.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-010,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-010,1,3,2 | 산·학·연·병이 함께하는 ‘AI 바이오 혁신생태계 조성’,layout_false_positive,single_row_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-011,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-011,3,3,’26년 | ⇨ | ’27년 이후,review_required,hwpx_needs_manual_review,yes,,CTBL-DOC-POL-002-012,reviewed,요약본의 시범거점 확대 일정표. 본문 반복 표와 같은 canonical table로 유지.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-012,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-012,9,3,구분 | 지원내용,structured_table,hwpx_grid_table,yes,,CTBL-DOC-POL-002-002,reviewed,1차 heuristic seed. 구조표 후보로 유지.,1,TOP_AND_BOTTOM
TRV-DOC-POL-002-JS-013,DOC-POL-002,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-002-013,7,3,참여주체 | 인센티브,review_required,hwpx_needs_manual_review,yes,,CTBL-DOC-POL-002-013,reviewed,참여주체별 인센티브 구조표. dashboard table로 유지.,1,TOP_AND_BOTTOM
