review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-POL-007-JS-001,DOC-POL-007,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-007-001,1,1,,layout_false_positive,empty_table_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,0,IN_FRONT_OF_TEXT
TRV-DOC-POL-007-JS-002,DOC-POL-007,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-007-002,2,4,"의안번호 | 제 4 호 | 의결
사항",layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-003,DOC-POL-007,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-007-003,1,1,AI반도체 산업 도약 전략(안),layout_false_positive,single_cell_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-004,DOC-POL-007,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-007-004,1,1,과학기술관계장관회의,layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-005,DOC-POL-007,hwpx,section0,pymupdf_find_tables,TBL-DOC-POL-007-005,2,5,제 출 자 | 과학기술정보통신부장관 | 배경훈 | 산업통상부장관,layout_false_positive,front_matter_table,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-006,DOC-POL-007,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-007-006,1,1,AI반도체 산업 도약 전략(안) (요약),layout_false_positive,single_cell_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-007,DOC-POL-007,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-007-007,3,3,<비전 및 목표>,layout_false_positive,heading_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-008,DOC-POL-007,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-007-008,1,3,1 | (기술혁신) 국산 AI반도체 상용화 및 미래도전 기술 확보,layout_false_positive,single_row_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-009,DOC-POL-007,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-007-009,22,19,구분 | `25년 | `26년 | `27년,structured_table,hwpx_matrix_table,yes,,CTBL-DOC-POL-007-001,reviewed,1차 heuristic seed. 구조표 후보로 유지.,1,TOP_AND_BOTTOM
TRV-DOC-POL-007-JS-010,DOC-POL-007,hwpx,section2,pymupdf_find_tables,TBL-DOC-POL-007-010,1,3,2 | (수요창출) 국가 AI 대전환과 연계한 대규모 수요‧시장 창출,layout_false_positive,single_row_layout_box,no,,,reviewed,1차 heuristic seed. 레이아웃 박스/표 도구 기반 제목 요소로 판단해 제외.,1,TOP_AND_BOTTOM
