merge_candidate_id,document_id,page_no,primary_seed_id,primary_source_object_id,primary_block_type,item_label_draft,item_statement_draft,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,resource_type_candidates,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,member_seed_ids,member_source_object_ids,member_count,supporting_review_seed_ids,supporting_review_count,primary_text,continuation_texts,supporting_review_texts,merge_confidence,merge_status,merge_notes
PMD-DOC-POL-011-0001,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00002,PAR-DOC-POL-011-00002,bullet,「AI시대 대한민국 네트워크 전략(안)」을 별지와 같이 의결함,ㅇ 「AI시대 대한민국 네트워크 전략(안)」을 별지와 같이 의결함,meta_program_frame,detected_program_frame_keyword,,,STR-004,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00002,PAR-DOC-POL-011-00002,1,,0,ㅇ 「AI시대 대한민국 네트워크 전략(안)」을 별지와 같이 의결함,,,medium,review_required,
PMD-DOC-POL-011-0002,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00008,PAR-DOC-POL-011-00008,bullet,대한민국 ‘AI고속도로’ 완성과 ‘AI G3 강국’ 도약을 위한 국가 네트워크 全 영역의 대대적 고도화...,ㅇ 대한민국 ‘AI고속도로’ 완성과 ‘AI G3 강국’ 도약을 위한 국가 네트워크 全 영역의 대대적 고도화와 산업 혁신 요구,policy_action,,technology,technology,STR-001 | STR-004 | STR-008,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00008,PAR-DOC-POL-011-00008,1,CLS-SEED-DOC-POL-011-00012,1,ㅇ 대한민국 ‘AI고속도로’ 완성과 ‘AI G3 강국’ 도약을 위한 국가 네트워크 全 영역의 대대적 고도화와 산업 혁신 요구,,"* 온디바이스 AI의 배터리·추론 성능 한계, 중앙 클라우드의 높은 비용·지연시간 한계를 보완",medium,review_required,attached_review_support
PMD-DOC-POL-011-0003,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00013,PAR-DOC-POL-011-00013,bullet,국내 통신서비스·네트워크 장비 산업은 장기간 침체 직면,ㅇ 국내 통신서비스·네트워크 장비 산업은 장기간 침체 직면,policy_action,,technology,technology,STR-004,TD-007,TSD-007-001,CLS-SEED-DOC-POL-011-00013,PAR-DOC-POL-011-00013,1,CLS-SEED-DOC-POL-011-00014,1,ㅇ 국내 통신서비스·네트워크 장비 산업은 장기간 침체 직면,,"※ △ 통신서비스: ‘13년 이후 포화, 23조 규모 정체 △ 장비산업: 글로벌 이동통신 시장 점유율 5~6% 불과",medium,review_required,attached_review_support
PMD-DOC-POL-011-0004,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00016,PAR-DOC-POL-011-00016,bullet,추진전략(~’30년),□ 추진전략(~’30년),policy_action,,,,STR-004,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00016,PAR-DOC-POL-011-00016,1,,0,□ 추진전략(~’30년),,,medium,review_required,
PMD-DOC-POL-011-0005,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00017,PAR-DOC-POL-011-00017,bullet,국가 네트워크 진화 초지능·초성능 네트워크 전면 구축,ㅇ 국가 네트워크 진화 초지능·초성능 네트워크 전면 구축,policy_action,,,,STR-004,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00017,PAR-DOC-POL-011-00017,1,,0,ㅇ 국가 네트워크 진화 초지능·초성능 네트워크 전면 구축,,,medium,review_required,
PMD-DOC-POL-011-0006,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00018,PAR-DOC-POL-011-00018,bullet,성능 향상,"- (성능 향상) 초고속·초저지연 6G 이동통신 상용화, 백본망 용량 4배 확대 및 광케이블 전국 보급(98%), 해저케이블·저궤도 위성통신 고도화",policy_action,,technology,technology,STR-004,TD-007,TSD-007-002,CLS-SEED-DOC-POL-011-00018,PAR-DOC-POL-011-00018,1,,0,"- (성능 향상) 초고속·초저지연 6G 이동통신 상용화, 백본망 용량 4배 확대 및 광케이블 전국 보급(98%), 해저케이블·저궤도 위성통신 고도화",,,medium,review_required,
PMD-DOC-POL-011-0007,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00019,PAR-DOC-POL-011-00019,bullet,구조 혁신,- (구조 혁신) ‘네트워크+AI’ 기능을 융합한 지능형 기지국(AI-RAN) 전국 산업·서비스 현장에 구축·확산을 통해 AX대전환 견인,policy_action,,,,STR-004 | STR-001,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00019,PAR-DOC-POL-011-00019,1,,0,- (구조 혁신) ‘네트워크+AI’ 기능을 융합한 지능형 기지국(AI-RAN) 전국 산업·서비스 현장에 구축·확산을 통해 AX대전환 견인,,,medium,review_required,
PMD-DOC-POL-011-0008,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00020,PAR-DOC-POL-011-00020,bullet,산업 혁신 6G·AI네트워크 1등 국가,ㅇ 산업 혁신 6G·AI네트워크 1등 국가,policy_action,,,,STR-004,TD-007,TSD-007-003,CLS-SEED-DOC-POL-011-00020,PAR-DOC-POL-011-00020,1,,0,ㅇ 산업 혁신 6G·AI네트워크 1등 국가,,,medium,review_required,
PMD-DOC-POL-011-0009,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00021,PAR-DOC-POL-011-00021,bullet,기술 개발,- (기술 개발) 한 발 앞선 6G·AI네트워크(지능화) 기술 개발로 차세대 네트워크 초격차 기술 경쟁력 확보,policy_action,,technology,technology,STR-004,TD-007 | TD-001,TSD-007-001 | TSD-001-004,CLS-SEED-DOC-POL-011-00021,PAR-DOC-POL-011-00021,1,CLS-SEED-DOC-POL-011-00022,1,- (기술 개발) 한 발 앞선 6G·AI네트워크(지능화) 기술 개발로 차세대 네트워크 초격차 기술 경쟁력 확보,,"※ △ 6G 상용화기술개발(’24~’28, 3,700억원), △ AI-RAN 글로벌선도프로젝트(‘26~‘30, 495억원), △ 네트워크 AI파운데이션모델 개발(‘26~’30, 380억원) 등",medium,review_required,attached_review_support
PMD-DOC-POL-011-0010,DOC-POL-011,section2,CLS-SEED-DOC-POL-011-00023,PAR-DOC-POL-011-00023,bullet,산업 육성,"- (산업 육성) 대규모 AI네트워크 실증(’26~’31)을 통한 수요 창출, 국내 유망기업 기술사업화·국내외 시장진출 지원",policy_action,,technology,technology,STR-004,TD-001,TSD-001-004,CLS-SEED-DOC-POL-011-00023,PAR-DOC-POL-011-00023,1,,0,"- (산업 육성) 대규모 AI네트워크 실증(’26~’31)을 통한 수요 창출, 국내 유망기업 기술사업화·국내외 시장진출 지원",,,medium,review_required,
