merge_candidate_id,document_id,page_no,primary_seed_id,primary_source_object_id,primary_block_type,item_label_draft,item_statement_draft,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,resource_type_candidates,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,member_seed_ids,member_source_object_ids,member_count,supporting_review_seed_ids,supporting_review_count,primary_text,continuation_texts,supporting_review_texts,merge_confidence,merge_status,merge_notes
PMD-DOC-POL-008-0001,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00002,PAR-DOC-POL-008-00002,bullet,「민간투자연계,"ㅇ 「민간투자연계, 팁스 R&D 확산방안(안)」을 별지와 같이 보고함",policy_action,,,,,,,CLS-SEED-DOC-POL-008-00002,PAR-DOC-POL-008-00002,1,,0,"ㅇ 「민간투자연계, 팁스 R&D 확산방안(안)」을 별지와 같이 보고함",,,medium,review_required,
PMD-DOC-POL-008-0002,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00004,PAR-DOC-POL-008-00004,bullet,민간투자와 연계하여 중소기업의 기술혁신을 지원하는 팁스 R&D를 다양한 기술‧산업 및 지역으로 확산하기...,ㅇ 민간투자와 연계하여 중소기업의 기술혁신을 지원하는 팁스 R&D를 다양한 기술‧산업 및 지역으로 확산하기 위한 방안을 수립‧시행,policy_action,,,,,,,CLS-SEED-DOC-POL-008-00004,PAR-DOC-POL-008-00004,1,CLS-SEED-DOC-POL-008-00007,1,ㅇ 민간투자와 연계하여 중소기업의 기술혁신을 지원하는 팁스 R&D를 다양한 기술‧산업 및 지역으로 확산하기 위한 방안을 수립‧시행,,* 팁스 R&D(‘13~) : 5천개 중소기업에 정부 R&D출연 2.2조원 + AC‧VC 등 투자 21.3조원,medium,review_required,attached_review_support
PMD-DOC-POL-008-0003,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00010,PAR-DOC-POL-008-00010,bullet,성장 전주기 지원을 위한 팁스 R&D 확장,"- 성장 전주기 지원을 위한 팁스 R&D 확장, 투자를 기반으로 단계별 R&D간 연계 강화, 딥테크 챌린지 프로젝트 등 확대 추진",policy_action,,,,,,,CLS-SEED-DOC-POL-008-00010,PAR-DOC-POL-008-00010,1,,0,"- 성장 전주기 지원을 위한 팁스 R&D 확장, 투자를 기반으로 단계별 R&D간 연계 강화, 딥테크 챌린지 프로젝트 등 확대 추진",,,medium,review_required,
PMD-DOC-POL-008-0004,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00012,PAR-DOC-POL-008-00012,bullet,운영사 풀 확대(24→80) 및 개방 경쟁체계 도입,"- 운영사 풀 확대(24→80) 및 개방 경쟁체계 도입, 컨소시엄 단위 전략분야 특화운영사 별도 지정, 기업성장 지원활동 촉진",policy_action,,,,,,,CLS-SEED-DOC-POL-008-00012,PAR-DOC-POL-008-00012,1,,0,"- 운영사 풀 확대(24→80) 및 개방 경쟁체계 도입, 컨소시엄 단위 전략분야 특화운영사 별도 지정, 기업성장 지원활동 촉진",,,medium,review_required,
PMD-DOC-POL-008-0005,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00014,PAR-DOC-POL-008-00014,bullet,부처수요기반 과제 발굴·협력 확대,"- 부처수요기반 과제 발굴·협력 확대, 무빙타겟 지원체계 확립, 팁스 R&D 협력체계(협의조정위원회, 팁스 R&D 추진단) 구축",policy_action,,infrastructure_policy,infrastructure_policy,,,,CLS-SEED-DOC-POL-008-00014,PAR-DOC-POL-008-00014,1,,0,"- 부처수요기반 과제 발굴·협력 확대, 무빙타겟 지원체계 확립, 팁스 R&D 협력체계(협의조정위원회, 팁스 R&D 추진단) 구축",,,medium,review_required,
PMD-DOC-POL-008-0006,DOC-POL-008,section2,CLS-SEED-DOC-POL-008-00016,PAR-DOC-POL-008-00016,bullet,우선할당·요건완화 등 지역 우대 강화,"- 우선할당·요건완화 등 지역 우대 강화, 지역거점 투자사 확충 및 지역특화 IR 추진, 지역성장펀드 등 지역벤처투자기반 조성",policy_action,,infrastructure_policy,infrastructure_policy,,,,CLS-SEED-DOC-POL-008-00016,PAR-DOC-POL-008-00016,1,,0,"- 우선할당·요건완화 등 지역 우대 강화, 지역거점 투자사 확충 및 지역특화 IR 추진, 지역성장펀드 등 지역벤처투자기반 조성",,,medium,review_required,
PMD-DOC-POL-008-0007,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00017,PAR-DOC-POL-008-00017,bullet,팁스 R&D는 스타트업의 혁신 성과를 창출하는 대표 중소벤처 R&D,□ 팁스 R&D는 스타트업의 혁신 성과를 창출하는 대표 중소벤처 R&D,policy_action,,,,,,,CLS-SEED-DOC-POL-008-00017,PAR-DOC-POL-008-00017,1,,0,□ 팁스 R&D는 스타트업의 혁신 성과를 창출하는 대표 중소벤처 R&D,,,medium,review_required,
PMD-DOC-POL-008-0008,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00018,PAR-DOC-POL-008-00018,bullet,그간 팁스 R&D는 초기 창업기업 지원에 중점을 두었으나,"□ 그간 팁스 R&D는 초기 창업기업 지원에 중점을 두었으나, 혁신기업의 스케일업, 글로벌 진출 등을 위한 ’민간투자+정부R&D’ 수요 증가",policy_action,,,,,,,CLS-SEED-DOC-POL-008-00018,PAR-DOC-POL-008-00018,1,CLS-SEED-DOC-POL-008-00019,1,"□ 그간 팁스 R&D는 초기 창업기업 지원에 중점을 두었으나, 혁신기업의 스케일업, 글로벌 진출 등을 위한 ’민간투자+정부R&D’ 수요 증가",,"* 팁스(창업기업, ’13~) : (’22) 500개 → (’25) 700개 스케일업 팁스(‘22~) : (‘22) 41개 → (‘25) 176개",medium,review_required,attached_review_support
PMD-DOC-POL-008-0009,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00020,PAR-DOC-POL-008-00020,bullet,중소벤처기업을 위한 ‘돈이 되는 R&D’로서,"□ 중소벤처기업을 위한 ‘돈이 되는 R&D’로서, 팁스 R&D를 다양한 기술‧산업 분야로 확산하고 지역기업의 혁신 플랫폼으로 확대할 필요",policy_action,detected_need_phrase_but_action_overrides,technology,technology,,,,CLS-SEED-DOC-POL-008-00020,PAR-DOC-POL-008-00020,1,CLS-SEED-DOC-POL-008-00021,1,"□ 중소벤처기업을 위한 ‘돈이 되는 R&D’로서, 팁스 R&D를 다양한 기술‧산업 분야로 확산하고 지역기업의 혁신 플랫폼으로 확대할 필요",,"* 팁스 R&D의 지역기업 선정비중(’13~’24) : (팁스) 31.6%, (스케일업 팁스) 41.7%",medium,review_required,attached_review_support
PMD-DOC-POL-008-0010,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00022,PAR-DOC-POL-008-00022,bullet,’팁스→ 스케일업 팁스→ 글로벌 팁스‘로 혁신 성과가 이어지는 성장 全주기 지원체계 확립 및 투자운영사...,- ’팁스→ 스케일업 팁스→ 글로벌 팁스‘로 혁신 성과가 이어지는 성장 全주기 지원체계 확립 및 투자운영사의 자율‧경쟁성 강화,policy_action,,infrastructure_policy,infrastructure_policy,,,,CLS-SEED-DOC-POL-008-00022,PAR-DOC-POL-008-00022,1,,0,- ’팁스→ 스케일업 팁스→ 글로벌 팁스‘로 혁신 성과가 이어지는 성장 全주기 지원체계 확립 및 투자운영사의 자율‧경쟁성 강화,,,medium,review_required,
PMD-DOC-POL-008-0011,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00023,PAR-DOC-POL-008-00023,bullet,범부처 협력체계를 바탕으로 ABCDEF 전략기술분야의 딥테크 혁신성과 창출 촉진,- 범부처 협력체계를 바탕으로 ABCDEF 전략기술분야의 딥테크 혁신성과 창출 촉진,policy_action,,,,,,,CLS-SEED-DOC-POL-008-00023,PAR-DOC-POL-008-00023,1,,0,- 범부처 협력체계를 바탕으로 ABCDEF 전략기술분야의 딥테크 혁신성과 창출 촉진,,,medium,review_required,
PMD-DOC-POL-008-0012,DOC-POL-008,section6,CLS-SEED-DOC-POL-008-00024,PAR-DOC-POL-008-00024,bullet,지역 우대를 대폭 강화 → 지역 혁신‧투자의 마중물 역할 수행,- 지역 우대를 대폭 강화 → 지역 혁신‧투자의 마중물 역할 수행,policy_action,,,,,,,CLS-SEED-DOC-POL-008-00024,PAR-DOC-POL-008-00024,1,,0,- 지역 우대를 대폭 강화 → 지역 혁신‧투자의 마중물 역할 수행,,,medium,review_required,
