merge_candidate_id,document_id,page_no,primary_seed_id,primary_source_object_id,primary_block_type,item_label_draft,item_statement_draft,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,resource_type_candidates,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,member_seed_ids,member_source_object_ids,member_count,supporting_review_seed_ids,supporting_review_count,primary_text,continuation_texts,supporting_review_texts,merge_confidence,merge_status,merge_notes
PMD-DOC-POL-002-0001,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00002,PAR-DOC-POL-002-00002,bullet,「AI 바이오 국가전략(안)」을 별지와 같이 의결함,ㅇ 「AI 바이오 국가전략(안)」을 별지와 같이 의결함,meta_program_frame,detected_program_frame_keyword,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00002,PAR-DOC-POL-002-00002,1,,0,ㅇ 「AI 바이오 국가전략(안)」을 별지와 같이 의결함,,,medium,review_required,
PMD-DOC-POL-002-0002,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00004,PAR-DOC-POL-002-00004,bullet,AI 기반 바이오 혁신을 통해 인류 건강과 미래산업을 선도하는 글로벌 허브국가로 도약하기 위한 ｢AI...,ㅇ AI 기반 바이오 혁신을 통해 인류 건강과 미래산업을 선도하는 글로벌 허브국가로 도약하기 위한 ｢AI 바이오 국가전략(안)｣ 수립·시행,policy_action,,technology,technology,STR-003,TD-001 | TD-011,TSD-001-001 | TSD-011-001,CLS-SEED-DOC-POL-002-00004,PAR-DOC-POL-002-00004,1,CLS-SEED-DOC-POL-002-00008,1,ㅇ AI 기반 바이오 혁신을 통해 인류 건강과 미래산업을 선도하는 글로벌 허브국가로 도약하기 위한 ｢AI 바이오 국가전략(안)｣ 수립·시행,,"* 수주~수개월이 걸리는 실험 프로세스 → 수일로 단축, 매주 수백만건의 데이터 생성 전통적 신약개발 방식의 임상1상 성공률 52% → AI 활용 시 성공률은 80% 이상",medium,review_required,attached_review_support
PMD-DOC-POL-002-0003,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00009,PAR-DOC-POL-002-00009,bullet,글로벌 주요국은 AI 바이오 주도권을 확보하기 위한 총력전에 돌입,ㅇ 글로벌 주요국은 AI 바이오 주도권을 확보하기 위한 총력전에 돌입,policy_action,,technology,technology,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00009,PAR-DOC-POL-002-00009,1,CLS-SEED-DOC-POL-002-00010,1,ㅇ 글로벌 주요국은 AI 바이오 주도권을 확보하기 위한 총력전에 돌입,,※ (美) 국가 과학기술체계 전반을 AI 중심으로 재편하는 ‘제네시스 미션’ 행정명령 발표(11.24.),medium,review_required,attached_review_support
PMD-DOC-POL-002-0004,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00012,PAR-DOC-POL-002-00012,bullet,비전 및 추진전략,□ 비전 및 추진전략,policy_action,,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00012,PAR-DOC-POL-002-00012,1,,0,□ 비전 및 추진전략,,,medium,review_required,
PMD-DOC-POL-002-0005,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00013,PAR-DOC-POL-002-00013,bullet,전략별 추진과제,□ 전략별 추진과제,policy_action,,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00013,PAR-DOC-POL-002-00013,1,,0,□ 전략별 추진과제,,,medium,review_required,
PMD-DOC-POL-002-0006,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00014,PAR-DOC-POL-002-00014,bullet,범용 모델 구축,ㅇ (범용 모델 구축) ‘(가칭)국가 AI 바이오 연구소’를 중심으로 멀티모달-멀티스케일 바이오 파운데이션 모델 구축·개방 및 산업활용 확산,policy_action,,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00014,PAR-DOC-POL-002-00014,1,,0,ㅇ (범용 모델 구축) ‘(가칭)국가 AI 바이오 연구소’를 중심으로 멀티모달-멀티스케일 바이오 파운데이션 모델 구축·개방 및 산업활용 확산,,,medium,review_required,
PMD-DOC-POL-002-0007,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00015,PAR-DOC-POL-002-00015,bullet,5대분야 혁신,ㅇ (5대분야 혁신) AI 적용 가능성과 파급효과를 고려하여 ‘단기 성과 + 중장기 혁신 + 국민 체감’을 달성할 수 있는 5대 분야 모델 개발·적용,policy_action,,technology,technology,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00015,PAR-DOC-POL-002-00015,1,,0,ㅇ (5대분야 혁신) AI 적용 가능성과 파급효과를 고려하여 ‘단기 성과 + 중장기 혁신 + 국민 체감’을 달성할 수 있는 5대 분야 모델 개발·적용,,,medium,review_required,
PMD-DOC-POL-002-0008,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00016,PAR-DOC-POL-002-00016,bullet,거점조성,"ㅇ (거점조성) ’30년까지 2개 분야 AI 바이오 거점을 조성하고, 지역경제 성장의 엔진 역할을 할 수 있도록 지원(→성과 검토 후 5개로 확대)",policy_action,,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00016,PAR-DOC-POL-002-00016,1,,0,"ㅇ (거점조성) ’30년까지 2개 분야 AI 바이오 거점을 조성하고, 지역경제 성장의 엔진 역할을 할 수 있도록 지원(→성과 검토 후 5개로 확대)",,,medium,review_required,
PMD-DOC-POL-002-0009,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00017,PAR-DOC-POL-002-00017,bullet,패키지 지원,"ㅇ (패키지 지원) 거점에 R&D, 인프라·데이터, 인재양성 등을 패키지로 지원하여 AI 바이오 혁신을 가속화하고, 지속가능한 성장기반 구축",policy_action,,talent,talent,STR-003,TD-001,TSD-001-005,CLS-SEED-DOC-POL-002-00017,PAR-DOC-POL-002-00017,1,,0,"ㅇ (패키지 지원) 거점에 R&D, 인프라·데이터, 인재양성 등을 패키지로 지원하여 AI 바이오 혁신을 가속화하고, 지속가능한 성장기반 구축",,,medium,review_required,
PMD-DOC-POL-002-0010,DOC-POL-002,section2,CLS-SEED-DOC-POL-002-00018,PAR-DOC-POL-002-00018,bullet,인센티브 체계 마련,ㅇ (인센티브 체계 마련) 산·학·연·병 참여 촉진을 위한 유인 제공,policy_action,,,,STR-003,TD-001,TSD-001-001,CLS-SEED-DOC-POL-002-00018,PAR-DOC-POL-002-00018,1,,0,ㅇ (인센티브 체계 마련) 산·학·연·병 참여 촉진을 위한 유인 제공,,,medium,review_required,
