paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-POL-005-00001,DOC-POL-005,section2,1,heading,Ⅰ. 의결주문,1,1,,hwpx
PAR-DOC-POL-005-00002,DOC-POL-005,section2,2,bullet,ㅇ 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 별지와 같이 의결함,1,1,,hwpx
PAR-DOC-POL-005-00003,DOC-POL-005,section2,3,heading,Ⅱ. 제안이유,1,1,,hwpx
PAR-DOC-POL-005-00004,DOC-POL-005,section2,4,bullet,"ㅇ 훼손된 연구생태계의 복원을 넘어, 연구자의 도전-몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 「과학기술로 미래를 선도하는 연구개발 생태계 혁신방안(안)」을 관계부처* 합동으로 수립‧시행하고자 함",1,1,,hwpx
PAR-DOC-POL-005-00005,DOC-POL-005,section2,5,note,"* 과학기술정보통신부, 기획재정부, 교육부, 산업통상부, 중소벤처기업부, 조달청 6개 부처(청)",1,1,,hwpx
PAR-DOC-POL-005-00006,DOC-POL-005,section2,6,heading,Ⅲ. 주요 내용,1,1,,hwpx
PAR-DOC-POL-005-00007,DOC-POL-005,section2,7,bullet,□ 추진 배경 및 경과,1,1,,hwpx
PAR-DOC-POL-005-00008,DOC-POL-005,section2,8,bullet,"ㅇ (배경) 급격한 예산조정, 낡은 규제 등으로 연구생태계가 위축되었으나, 국가성장을 위해선 연구자의 도전-몰입에 기반한 기술주도 성장이 필수적",1,1,,hwpx
PAR-DOC-POL-005-00009,DOC-POL-005,section2,9,bullet,"☞ 연구 생태계의 복원을 넘어, 연구자의 도전·몰입이 국가성장으로 이어지기 위한 실질적 대책을 담은 ‘연구개발 생태계 혁신방안’ 마련 추진",1,1,,hwpx
PAR-DOC-POL-005-00010,DOC-POL-005,section2,10,bullet,ㅇ (경과) 과제의 발굴부터 해결방안 도출까지 철저하게 현장 중심으로 이루어지도록 다양한 방법*으로 과학기술계 의견 적극 청취-반영,1,1,,hwpx
PAR-DOC-POL-005-00011,DOC-POL-005,section2,11,note,"* ▲민간 전문가 자문단 구성-운영, ▲권역별-주제별 연구현장 간담회 개최(9회), ▲온라인 소통 플랫폼(모두의 R&D) 운영(7월∼10월), ▲대국민 보고회 개최(11.7.) 등",2,1,split_multiline_structured_block,hwpx
PAR-DOC-POL-005-00012,DOC-POL-005,section2,12,bullet,□ 문제점 및 수립 방향,1,1,,hwpx
PAR-DOC-POL-005-00013,DOC-POL-005,section2,13,bullet,"ㅇ 현장의 문제인식을 바탕으로, 다음 세대의 꿈이 될 과학기술자가 나오기 어려운 현재 연구환경의 구조적 한계 분석 및 과제 도출",1,1,,hwpx
PAR-DOC-POL-005-00014,DOC-POL-005,section2,14,bullet,ㅇ (연구자 중심) 연구가 가장 최우선시되는 연구몰입 환경 구축,1,1,,hwpx
PAR-DOC-POL-005-00015,DOC-POL-005,section2,15,bullet,"ㅇ (혁신주체 역량 제고) 출연연, 대학, 기업 본연의 역할을 지원하는 체계",1,1,,hwpx
PAR-DOC-POL-005-00016,DOC-POL-005,section2,16,bullet,ㅇ (R&D기반 강화) 연구자와 연구기관의 성장을 뒷받침하는 정부 시스템,1,1,,hwpx
PAR-DOC-POL-005-00017,DOC-POL-005,section2,17,bullet,□ 추진 전략 및 과제,1,1,,hwpx
PAR-DOC-POL-005-00018,DOC-POL-005,section2,18,bullet,- 도전·창의적 연구에 몰입하는 환경 조성,1,1,,hwpx
PAR-DOC-POL-005-00019,DOC-POL-005,section2,19,paragraph,➀ 과감한 도전을 가능케 하는 평가제도 혁신,1,1,,hwpx
PAR-DOC-POL-005-00020,DOC-POL-005,section2,20,bullet,ㅇ 현장의견 연구자가 목표달성 실패를 걱정으로 안전한 연구만 수행,1,1,,hwpx
PAR-DOC-POL-005-00021,DOC-POL-005,section2,21,bullet,☞ 개선방향 도전-창의적 연구에만 몰입할 수 있도록 평가제도 혁신,1,1,,hwpx
PAR-DOC-POL-005-00022,DOC-POL-005,section2,22,paragraph,➁ 연구 외의 일로 방해받지 않도록 행정부담 완화,1,1,,hwpx
PAR-DOC-POL-005-00023,DOC-POL-005,section2,23,bullet,ㅇ 현장의견 연구자가 연구에 몰입하지 못하고 사전통제 중심 행정절차에 매몰,1,1,,hwpx
PAR-DOC-POL-005-00024,DOC-POL-005,section2,24,bullet,"☞ 개선방향 책임에 기반하여 연구자 자율성을 강화하고, 불필요한 행정부담 완화",1,1,,hwpx
PAR-DOC-POL-005-00025,DOC-POL-005,section2,25,paragraph,➂ 연구 몰입과 성과 제고를 돕는 연구지원인력-장비활용 인프라 확충,1,1,,hwpx
PAR-DOC-POL-005-00026,DOC-POL-005,section2,26,bullet,"ㅇ 현장의견 연구자에게 행정-장비관리 부담 전가, 필요한 장비의 적시 확보가 어려운 환경",1,1,,hwpx
PAR-DOC-POL-005-00027,DOC-POL-005,section2,27,bullet,☞ 개선방향 연구지원체계를 기관 중심으로 전환하고 장비 공동활용-도입 제도 개선,1,1,,hwpx
PAR-DOC-POL-005-00028,DOC-POL-005,section2,28,bullet,- 출연연-대학-기업에 맞는 지원체계,1,1,,hwpx
PAR-DOC-POL-005-00029,DOC-POL-005,section2,29,paragraph,➃ 국가경쟁력 도약의 임무를 선도하는 출연연 시대,1,1,,hwpx
PAR-DOC-POL-005-00030,DOC-POL-005,section2,30,bullet,"ㅇ 현장의견 파편화된 재정구조, 우수인재 유입 약화로 국가적 임무 수행에 제한",1,1,,hwpx
PAR-DOC-POL-005-00031,DOC-POL-005,section2,31,bullet,☞ 개선방향 출연연 시스템을 임무중심으로 전환하고 연구자 처우-채용제도 개선,1,1,,hwpx
PAR-DOC-POL-005-00032,DOC-POL-005,section2,32,paragraph,➄ 자율과 특성화 기반 대학 연구 생태계 강화,1,1,,hwpx
PAR-DOC-POL-005-00033,DOC-POL-005,section2,33,bullet,"ㅇ 현장의견 재원이 개별 연구과제에 의존, 안정적 연구 및 연구경쟁력 강화에 제한",1,1,,hwpx
PAR-DOC-POL-005-00034,DOC-POL-005,section2,34,bullet,"☞ 개선방향 블록펀딩 도입, 기초연구 복원 및 지역거점대 연구경쟁력 제고",1,1,,hwpx
PAR-DOC-POL-005-00035,DOC-POL-005,section2,35,paragraph,➅ 맞춤형 기업 지원으로 민간 혁신 활성화,1,1,,hwpx
PAR-DOC-POL-005-00036,DOC-POL-005,section2,36,bullet,"ㅇ 현장의견 공급자 중심 정책 지원으로, 기업이 체감할 수 있는 혜택-지원 부재",1,1,,hwpx
PAR-DOC-POL-005-00037,DOC-POL-005,section2,37,bullet,☞ 개선방향 체감이 가능한 인센티브 도입 및 기업 역량에 따라 지원방식 다양화,1,1,,hwpx
PAR-DOC-POL-005-00038,DOC-POL-005,section2,38,bullet,- 연구자-연구기관의 성장을 뒷받침하는 시스템 혁신,1,1,,hwpx
PAR-DOC-POL-005-00039,DOC-POL-005,section2,39,paragraph,➆ 수요자 중심의 안정적이고 예측 가능한 정부 R&D 투자,1,1,,hwpx
PAR-DOC-POL-005-00040,DOC-POL-005,section2,40,bullet,ㅇ 현장의견 재정 효율성 중심 투자시스템으로 인해 안정적이고 신속한 R&D 투자 제한,1,1,,hwpx
PAR-DOC-POL-005-00041,DOC-POL-005,section2,41,bullet,☞ 개선방향 충분한 R&D 투자 규모 확보 및 신속-유연한 투자체계로 전환,1,1,,hwpx
PAR-DOC-POL-005-00042,DOC-POL-005,section2,42,paragraph,➇ 전문성·효율성 중심 R&D 프로세스 고도화,1,1,,hwpx
PAR-DOC-POL-005-00043,DOC-POL-005,section2,43,bullet,ㅇ 현장의견 공급자-소수전문가 중심 R&D체계로 전문성 및 현장수요반영에 한계,1,1,,hwpx
PAR-DOC-POL-005-00044,DOC-POL-005,section2,44,bullet,"☞ 개선방향 민간전문성, AI활용 등으로 연구 기획-평가-관리 체계 고도화",1,1,,hwpx
PAR-DOC-POL-005-00045,DOC-POL-005,section2,45,paragraph,➈ 연구성과의 확산과 개발기술의 사업화 촉진,1,1,,hwpx
PAR-DOC-POL-005-00046,DOC-POL-005,section2,46,bullet,ㅇ 현장의견 축적된 연구성과-개발기술의 확산을 위한 체계적인 시스템 부재,1,1,,hwpx
PAR-DOC-POL-005-00047,DOC-POL-005,section2,47,bullet,"☞ 개선방향 연구-개발성과가 시장으로, 연구데이터가 다음 연구로 이어지는 체계 구축",1,1,,hwpx
PAR-DOC-POL-005-00048,DOC-POL-005,section2,48,heading,Ⅳ. 향후계획,1,1,,hwpx
PAR-DOC-POL-005-00049,DOC-POL-005,section2,49,bullet,ㅇ 관계부처와 함께 분야별 세부실행계획 마련 및 과학기술관계장관회의 보고-확정,1,1,,hwpx
PAR-DOC-POL-005-00050,DOC-POL-005,section2,50,bullet,ㅇ 부처별 추진과제 이행 실적을 주기적으로 점검,1,1,,hwpx
PAR-DOC-POL-005-00051,DOC-POL-005,section2,51,note,※ 필요시 과학기술관계장관회의를 통하여 부처 간 정책 조정,1,1,,hwpx
PAR-DOC-POL-005-00052,DOC-POL-005,section5,1,bullet,"ㅇ 연구현장의 목소리를 배제하고 재정 효율성만을 앞세운 예산·사업 구조조정으로 연구자의 불안이 커지고, 과학기술 미래 기반이 위축*",1,1,,hwpx
PAR-DOC-POL-005-00053,DOC-POL-005,section5,2,note,"* 개인기초 연구 과제 수 : (‘23년) 14,499개 → (’25년) 11,827개 (18.4%↓)",1,1,,hwpx
PAR-DOC-POL-005-00054,DOC-POL-005,section5,3,bullet,"ㅇ 제도개편이 시대변화와 연구현장의 요구를 충분히 반영하지 못해 낡은 규제·절차*가 여전히 남아, 연구현장의 걸림돌로 작용",1,1,,hwpx
PAR-DOC-POL-005-00055,DOC-POL-005,section5,4,note,"* ’96년부터 운영 중인 PBS 제도, ’07년 이후 유지 중인 연구시설·장비 도입심의 기준금액 등",1,1,,hwpx
PAR-DOC-POL-005-00056,DOC-POL-005,section5,5,bullet,"ㅇ 미래사회에 큰 영향을 미칠 AI, 바이오, 양자 등 첨단 과학기술에 대한 글로벌 각국의 기술주도권 확보 경쟁*이 치열한 상황",1,1,,hwpx
PAR-DOC-POL-005-00057,DOC-POL-005,section5,6,note,"* (미) 스타게이트프로젝트, AI데이터 센터 5천억달러 (EU) InvestAI 이니셔티브, 약 2천억유로 (중) 국가창업투자유도펀드 1조 위안, 첨단기술 분야 기업 투자",1,1,,hwpx
PAR-DOC-POL-005-00058,DOC-POL-005,section5,7,bullet,"ㅇ 우리나라는 잠재성장률이 급격히 둔화* 중이나 인구절벽으로 노동투입 확대도 어려워, R&D를 통한 새로운 가치 창출과 생산성 혁신만이 해법",1,1,,hwpx
PAR-DOC-POL-005-00059,DOC-POL-005,section5,8,note,"* 잠재성장률 전망: ’25~’30, 1.5% → ’31~’40, 0.7% → ’41~’50, 0.1% (KDI, ’25.5.)",1,1,,hwpx
PAR-DOC-POL-005-00060,DOC-POL-005,section5,9,bullet,"ㅇ 기술주도 성장을 위해선 훼손된 생태계의 단순 복원을 넘어, 연구자가 제한 없이 도전적 연구에만 몰입할 수 있도록 생태계 혁신 필요",1,1,,hwpx
PAR-DOC-POL-005-00061,DOC-POL-005,section5,10,bullet,□ 과제의 발굴부터 해결방안 도출까지 철저하게 현장 중심으로 이루어지도록 다양한 방법으로 과학기술계 의견 적극 청취-반영,1,1,,hwpx
PAR-DOC-POL-005-00062,DOC-POL-005,section5,11,note,"※ 이재명 정부의 국정원칙: 경청과 통합, 공정과 신뢰, 실용과 성과",1,1,,hwpx
PAR-DOC-POL-005-00063,DOC-POL-005,section5,12,bullet,ㅇ 이슈 발굴→원인 진단→대안 도출 전 과정에 주도적으로 참여하는 민간 전문가 자문단 구성·운영,1,1,,hwpx
PAR-DOC-POL-005-00064,DOC-POL-005,section5,13,note,"※ 산·학·연 민간전문가 17인으로 구성, 대면회의 총 4회 개최",1,1,,hwpx
PAR-DOC-POL-005-00065,DOC-POL-005,section5,14,bullet,"ㅇ 연구현장의 문제 인식, 개선요청 사항 등을 가감 없이 듣기 위한 권역별(5극)/주제별(평가, 제도, 장비 등) 연구 현장 간담회 9회 개최",1,1,,hwpx
PAR-DOC-POL-005-00066,DOC-POL-005,section5,15,note,"※ 그 외, 과제 도출 및 대안 발굴을 위한 분야별 현장소통 23회 이상 실시",1,1,,hwpx
PAR-DOC-POL-005-00067,DOC-POL-005,section5,16,bullet,"ㅇ 일반국민을 포함, 현장의 의견을 최대한으로 수렴하기 위하여 온라인 소통 플랫폼인 ‘모두의 R&D’운영",1,1,,hwpx
PAR-DOC-POL-005-00068,DOC-POL-005,section5,17,bullet,"□ 근본적 질문 : 국가 성장의 주역인 과학기술자, 왜 미래 세대는 더 이상 과학기술자를 꿈꾸지 않는가?",1,1,,hwpx
PAR-DOC-POL-005-00069,DOC-POL-005,section5,18,bullet,"ㅇ 많은 인재들이 과학기술자보다 의사를 택하는 사회, 처우의 문제도 크게 작용하겠지만 그것만이 이유라 할 수 있을까?",1,1,,hwpx
PAR-DOC-POL-005-00070,DOC-POL-005,section5,19,bullet,"□ 과거에는 대중매체 속 과학자의 모습을 보며 꿈을 키우던 아이들, 언제부턴가 선망의 대상에서 사라진 과학기술자",1,1,,hwpx
PAR-DOC-POL-005-00071,DOC-POL-005,section5,20,note,"※ 초등학생 희망 직업 : 1위 운동선수 / 2위 의사 / 과학기술자는 20위권 밖(교육부, 2024)",1,1,,hwpx
PAR-DOC-POL-005-00072,DOC-POL-005,section5,21,bullet,"ㅇ ‘꿈’이란 단순한 직업이 아닌 자신이 되고 싶은 미래의 모습, 혁신적 성과로 사회적-국제적으로 인정받는 과학기술자의 모습을 더욱 보여줄 필요",1,1,,hwpx
PAR-DOC-POL-005-00073,DOC-POL-005,section5,22,bullet,□ 하지만 현재의 연구 환경에선 다음 세대의 꿈이 될 과학기술자가 나오기 어려운 구조적 한계가 있다는 지적 존재,1,1,,hwpx
PAR-DOC-POL-005-00074,DOC-POL-005,section5,23,bullet,ㅇ 도전적-창의적 연구가 아닌 성공하는 R&D만 하게 되는 시스템,1,1,,hwpx
PAR-DOC-POL-005-00075,DOC-POL-005,section5,24,bullet,ㅇ 복잡한 행정절차 등 정작 연구에 대한 몰입을 방해하는 제도,1,1,,hwpx
PAR-DOC-POL-005-00076,DOC-POL-005,section5,25,bullet,ㅇ 필요한 연구가 아닌 인건비 확보를 위한 과제수주 등에 매몰,1,1,,hwpx
PAR-DOC-POL-005-00077,DOC-POL-005,section5,26,bullet,ㅇ 연구개발(R&D)이 국가적-세계적 인정을 받을 만한 지적-경제적 성과로 이어지기 어려운 환경,1,1,,hwpx
PAR-DOC-POL-005-00078,DOC-POL-005,section5,27,bullet,"□ (도전하기 어려운 환경) 목표달성 여부를 중시하는 평가-관리 체계로 인해, 미달성 시 감점을 우려하여 무난한 연구를 선택하는 관행 고착화",1,1,,hwpx
PAR-DOC-POL-005-00079,DOC-POL-005,section5,28,bullet,"ㅇ 평가등급*이 낮을 경우, 후속 연구비 확보 시 불이익을 우려하여 도전적인 목표보단 성공 가능성이 높은 목표 설정",1,1,,hwpx
PAR-DOC-POL-005-00080,DOC-POL-005,section5,29,note,"* 혁신법 도입('21)으로 성공-실패의 분류 기준은 없으나, 현재 4단계 과제 평가결과 등급(우수–보통-미흡-극히불량)에 따라 분류",1,1,,hwpx
PAR-DOC-POL-005-00081,DOC-POL-005,section5,30,bullet,"ㅇ 또한, 실패의 파급효과*가 성과로 인정받지 못하는 등 목표를 달성하지 못하면 얻을 수 있는 혜택이 전무하여 도전을 선택할 동기 부족",1,1,,hwpx
PAR-DOC-POL-005-00082,DOC-POL-005,section5,31,note,"* (사례) 당초 암 치료제로 개발 중이던 mRNA의약품은 초기연구가 다수 실패했으나, 축적된 기술로 코로나19 팬데믹에서 mRNA 백신으로 임상·산업적 성공",1,1,,hwpx
PAR-DOC-POL-005-00083,DOC-POL-005,section5,32,bullet,"- 고위험 연구수행 이력에 대한 포상, 후속연구 지원 등도 미흡",1,1,,hwpx
PAR-DOC-POL-005-00084,DOC-POL-005,section5,33,bullet,□ (성과평가 한계) 연구 목표 및 성과에 대한 진정한 가치를 제대로 측정하지 못하는 평가체계 하에서 연구자들은 ‘보여주기식 연구’에 매몰,1,1,,hwpx
PAR-DOC-POL-005-00085,DOC-POL-005,section5,34,bullet,"ㅇ 공정성 우려, 제한된 일정과 비용 등으로 인한 형식적 평가체계는 피평가자가 공감할 수 있는 전문적이고 심도있는 결과 도출에 한계",1,1,,hwpx
PAR-DOC-POL-005-00086,DOC-POL-005,section5,35,bullet,ㅇ 연구내용의 의의와 파급효과(Out-come)보다 단순 산출물(Out-put) 중심의 평가에서 연구자들은 도전적 시도보다 가시적인 목표 달성에 치중,1,1,,hwpx
PAR-DOC-POL-005-00087,DOC-POL-005,section5,36,bullet,"- 논문-특허를 정량적으로 평가하지 않도록 평가체계를 개선해오고 있으나, 일부 과제에서는 여전히 정량평가를 진행하여 현장 체감이 어려움",1,1,,hwpx
PAR-DOC-POL-005-00088,DOC-POL-005,section5,37,bullet,□ (과도한 행정절차) 연구지원체계가 연구자에 대한 신뢰보다는 관리 편의주의 중심으로 운영되며 과도한 규정·절차가 누적되어 연구몰입 저해,1,1,,hwpx
PAR-DOC-POL-005-00089,DOC-POL-005,section5,38,note,※ 연구비 사용용도와 기준이 117개조로 복잡하게 구성(국가연구개발비 사용 기준 고시),1,1,,hwpx
PAR-DOC-POL-005-00090,DOC-POL-005,section5,39,bullet,"ㅇ 연구부정 발생 시 개인에 대한 충분한 조치보단 통제 절차 추가를 요구하는 관리체계와, 연구개발 과제 수의 증가*로 연구행정의 총량 증가",1,1,,hwpx
PAR-DOC-POL-005-00091,DOC-POL-005,section5,40,note,"* 국가연구개발 과제 수 : ('13년) 50,685개 → ('23년) 71,804개 (41.7%↑)",1,1,,hwpx
PAR-DOC-POL-005-00092,DOC-POL-005,section5,41,bullet,"- 또한, 회계연도 일치 등 일반 재정사업과 같은 관리방식도 연구의 흐름을 저해*하고, 특정 기간에 연구 외 행정이 집중**되는 부작용 초래",1,1,,hwpx
PAR-DOC-POL-005-00093,DOC-POL-005,section5,42,note,* 연구비가 사실상 3월부터 지급되며 연초 연구 수행 및 인건비 확보에 애로,1,1,,hwpx
PAR-DOC-POL-005-00094,DOC-POL-005,section5,43,note,"** 연구 기회가 집중되는 연초에는 각종 첨부서류 작성, 연말에는 각종 성과 보고서 작성과 평가 대응에 매몰",1,1,,hwpx
PAR-DOC-POL-005-00095,DOC-POL-005,section5,44,bullet,"ㅇ 연구 편의를 위해 통합정보시스템이 구축되었으나, 통합 과도기 단계의 불안정한 시스템으로 연구자·연구행정의 불편 가중",1,1,,hwpx
PAR-DOC-POL-005-00096,DOC-POL-005,section5,45,note,"※ 연구 정보를 변경할 때 IRIS, 연구비정보시스템(RCMS, EZBARO), 기관 내부 시스템마다 중복 입력 요구",1,1,,hwpx
PAR-DOC-POL-005-00097,DOC-POL-005,section5,46,note,"※ IRIS 시스템불안정 및 사용불편 문의 건수 : (‘22) 450건 → (‘24) 1,033건 (129.6%↑)",1,1,,hwpx
PAR-DOC-POL-005-00098,DOC-POL-005,section5,47,bullet,"ㅇ 그간 규정 개선 노력이 지속되어 왔으나, 감사 등에 대한 두려움으로 연구현장(전문기관, 산단 등)에서 관행이 사라지지 않아 연구자의 체감 낮음",1,1,,hwpx
PAR-DOC-POL-005-00099,DOC-POL-005,section5,48,bullet,"□ (연구자에게 행정부담 전가) 해외 선진국은 전문인력이 연구행정을 전담하나, 우리나라는 지원 시스템이 미흡하여 연구자가 직접 처리",1,1,,hwpx
PAR-DOC-POL-005-00100,DOC-POL-005,section5,49,note,"※ 美 대학 교수 1인당 연구지원인력(행정직+지원인력)은 MIT 6.18명, 하버드대 6.32명이나, KAIST의 경우 1인당 연구지원인력(교수 외 직원)이 1.36명 수준에 불과 ('24년 기준)",2,1,split_multiline_structured_block,hwpx
PAR-DOC-POL-005-00101,DOC-POL-005,section5,50,note,"※ 연구자들의 55.9%가 매일 업무시간 중 50% 이상을 행정업무에 투입한다 응답(대덕넷, '22)",1,1,,hwpx
PAR-DOC-POL-005-00102,DOC-POL-005,section5,51,bullet,ㅇ 연구장비도 연구실별 학생 등 연구자가 직접 사용-관리하여 연구몰입 저해뿐 아니라 안전사고로까지 이어질 우려,1,1,,hwpx
PAR-DOC-POL-005-00103,DOC-POL-005,section5,52,bullet,"□ (대학 연구기반 미흡) 대학은 지식 창출 및 인재 양성의 요람이나, 안정적‧지속적 연구 및 연구 역량 강화를 위한 기반 미흡",1,1,,hwpx
PAR-DOC-POL-005-00104,DOC-POL-005,section5,53,bullet,ㅇ 관행적으로 이루어지는 잦은 사업구조 개편 및 정책 변동으로 대학 기초연구의 예측가능성이 저하되고 연구 생태계 위축,1,1,,hwpx
PAR-DOC-POL-005-00105,DOC-POL-005,section5,54,note,"※ ‘24년도 예산 재구조화 과정에서 생애기본연구가 폐지되며, 연구가 중단되거나 연구실이 폐쇄되는 사례가 발생하는 등 기초연구 생태계 황폐화",1,1,,hwpx
PAR-DOC-POL-005-00106,DOC-POL-005,section5,55,bullet,"ㅇ 대학의 연구역량* 강화를 위한 재원 확보를 개별 연구과제에 의존하고 있어, 대학 차원의 안정적인 연구기반 마련이 어려운 구조",1,1,,hwpx
PAR-DOC-POL-005-00107,DOC-POL-005,section5,56,note,"* 연구장비-시설 등 인프라, 연구지원인력, 학생-포닥 등 참여연구원 인건비 등",1,1,,hwpx
PAR-DOC-POL-005-00108,DOC-POL-005,section5,57,note,"※ 대학별 기금규모(‘24): 서울대 3,898억원, KAIST 2,471억원, 하버드 74조원, 스탠퍼드 52조원",1,1,,hwpx
PAR-DOC-POL-005-00109,DOC-POL-005,section5,58,bullet,"□ (임무달성이 어려운 출연연 체계) 출연연은 파편화된 재정구조, 우수인재 유입 약화 등으로 인해 본연의 역할인 국가적 임무의 수행에 제한",1,1,,hwpx
PAR-DOC-POL-005-00110,DOC-POL-005,section5,59,bullet,ㅇ PBS 제도 하 인건비 확보를 위한 다수‧소액 수탁과제의 수주에 매몰되어 연구 몰입도 저하 및 대형성과 창출에 한계,1,1,,hwpx
PAR-DOC-POL-005-00111,DOC-POL-005,section5,60,bullet,"- 산-학-연 간 협력이 아닌 과제수주경쟁으로, 출연연 고유임무 수행 역할 상실",1,1,,hwpx
PAR-DOC-POL-005-00112,DOC-POL-005,section5,61,bullet,"ㅇ 출연연은 대학·기업 대비 매력도 저하*, 정책변동에 따른 불안정한 연구 환경이 지속되며 우수 인재의 확보가 어려움**",1,1,,hwpx
PAR-DOC-POL-005-00113,DOC-POL-005,section5,62,note,* 출연연 처우개선율(%): (’21) 0.2 → (’22) 0.8 → (’23) 1.2 → (’24) 2.1 전체근로자 임금 상승률(%): (’21) 4.6 → (’22) 4.9 → (’23) 2.5 → (’24) 2.9,2,1,split_multiline_structured_block,hwpx
PAR-DOC-POL-005-00114,DOC-POL-005,section5,63,note,"** 출연연 30대 이하 청년 연구원 퇴직비율은 (’20) 61.9% → (’23) 67.9%로 점차 늘고 있으며, 퇴사자 중 학계 이직이 39.4%로 가장 많은 비중 차지",1,1,,hwpx
PAR-DOC-POL-005-00115,DOC-POL-005,section5,64,bullet,"□ (기술-시장 연결 미흡) 개발된 기술이 효과적으로 시장에 공급되기 위한 체계적인 시스템이 부재하고, 현장의 요구에 대한 정부의 지원책도 미흡",1,1,,hwpx
PAR-DOC-POL-005-00116,DOC-POL-005,section5,65,note,"※ ‘23년 누적 보유 기술은 40만 건이나, 이전 기술은 1.2만 건으로 3% 수준에 불과(KIAT, ’24)",1,1,,hwpx
