policy_item_content_id,policy_item_group_id,content_label,content_statement,content_summary,content_type,content_status,display_order,notes
PIC-EXP-TD-002-01-01,PIG-EXP-TD-002-01,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00044
PIC-EXP-TD-002-02-01,PIG-EXP-TD-002-02,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00694
PIC-EXP-TD-003-03-01,PIG-EXP-TD-003-03,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성","- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00670
PIC-EXP-TD-004-04-01,PIG-EXP-TD-004-04,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진","ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00158
PIC-EXP-TD-004-05-01,PIG-EXP-TD-004-05,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축","ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00739
PIC-EXP-TD-005-06-01,PIG-EXP-TD-005-06,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00600
PIC-EXP-TD-005-07-01,PIG-EXP-TD-005-07,AI-그린바이오,"□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성","□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-002-01096
PIC-EXP-TD-006-08-01,PIG-EXP-TD-006-08,보안이취약한지역·중소기업등보안사각지대지원강화,"- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성","- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-001-00308
PIC-EXP-TD-007-09-01,PIG-EXP-TD-007-09,6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해,"ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자","ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-004-01275
PIC-EXP-TD-007-10-01,PIG-EXP-TD-007-10,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,policy_action,auto_expand_curated,1,expand draft from PIC-PROV-ITM-POL-004-01298
